TICKER,NOMBRE,SECTOR,INDUSTRIA,EMPLEADOS,PAIS,CIUDAD,DIRECCION,WEBSITE,TELEFONO,MONEDA,EXCHANGE,MARKET_CAP,RESUMEN
TICKER,NOMBRE,SECTOR,INDUSTRIA,EMPLEADOS,PAIS,CIUDAD,DIRECCION,WEBSITE,TELEFONO,MONEDA,EXCHANGE,MARKET_CAP,RESUMEN
A2A.MI,A2A S.p.A.,Utilities,Utilities - Diversified,14772,Italy,Milan,"Corso di Porta Vittoria, 4",https://www.gruppoa2a.it/it/home,39 02 77201,EUR,MIL,6667025408,"A2A S.p.A. engages in the production, sale, and distribution of gas and electricity, and district heating in Italy and internationally. It generates electricity through hydroelectric, thermoelectric, photovoltaic, and wind plants; and sells and distributes gas. The company also engages in the production and sale of heat produced through district heating networks; waste management activities, including collection and street sweeping, treatment, disposal, and recovery of materials and energy; and the construction and management of integrated waste disposal plants and systems. In addition, it offers integrated water cycle management services; and technical consultancy services relating to energy efficiency certificates. Further, the company is involved in the management of public lighting systems and street lights, and water purification and sewer activities, as well as offers garbage collection, street sweeping, video surveillance, energy efficiency, and electric mobility services. A2A S.p.A. is headquartered in Milan, Italy."
AAF.L,Airtel Africa Plc,Communication Services,Telecom Services,4253,United Kingdom,London,53/54 Grosvenor Street,https://airtel.africa,,GBp,LSE,8277849600,"Airtel Africa Plc, together with its subsidiaries, provides telecommunications and mobile money services in Nigeria, East Africa, and Francophone Africa. It offers pre and post-paid wireless voice, international roaming, and fixed line telephony services; data services, including 4G and 5G, home broadband, fibre, and data centers; and mobile money services, such as digital wallet payments systems, microloans, merchant, savings, international, and international money transfers. The company also provides messaging, value added, and tower sharing services, as well as infrastructure sharing, mobile commerce, and support services. The company was incorporated in 2018 and is based in London, the United Kingdom. Airtel Africa Plc is a subsidiary of Airtel Africa Mauritius Limited."
AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,55542,United Kingdom,London,17 Charterhouse Street,https://www.angloamerican.com,44 20 7968 8888,GBp,LSE,27101726720,"Anglo American plc operates as a mining company in the United Kingdom and internationally. It explores for copper concentrate and cathodes; iron ore; platinum group metals and nickel; rough and polished diamonds; steelmaking coal; and manganese ore. Anglo American plc was founded in 1917 and is headquartered in London, the United Kingdom."
ABB.ST,ABB Ltd,Industrials,Electrical Equipment & Parts,110860,Switzerland,Zurich,Affolternstrasse 44,https://global.abb/group/en,41 43 317 71 11,SEK,STO,1218664726528,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Europe, the Americas, Asia, the Middle East, and Africa. The company operates through Electrification, Motion, Process Automation, and Robotics & Discrete Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Process Automation segment provides control technologies, industrial software, advanced analytics, sensing and measurement technology, and marine propulsion systems; and repair, remote monitoring, preventive maintenance, asset performance management, emission monitoring, and cybersecurity services. The company's Robotics & Discrete Automation segment offers industrial and collaborative robots, autonomous mobile robotics, mapping and navigation solutions, robotic solutions, field services, spare parts, and digital services. This segment also provides solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, food and beverage, space, power generation, water, marine, and ports industries. The company was founded in 1883 and is headquartered in Zurich, Switzerland."
ABBN.SW,ABB Ltd,Industrials,Electrical Equipment & Parts,110860,Switzerland,Zurich,Affolternstrasse 44,https://global.abb/group/en,41 43 317 71 11,CHF,EBS,103339868160,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Europe, the Americas, Asia, the Middle East, and Africa. The company operates through Electrification, Motion, Process Automation, and Robotics & Discrete Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Process Automation segment provides control technologies, industrial software, advanced analytics, sensing and measurement technology, and marine propulsion systems; and repair, remote monitoring, preventive maintenance, asset performance management, emission monitoring, and cybersecurity services. The company's Robotics & Discrete Automation segment offers industrial and collaborative robots, autonomous mobile robotics, mapping and navigation solutions, robotic solutions, field services, spare parts, and digital services. This segment also provides solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, food and beverage, space, power generation, water, marine, and ports industries. The company was founded in 1883 and is headquartered in Zurich, Switzerland."
ABF.L,Associated British Foods plc,Consumer Defensive,Packaged Foods,138000,United Kingdom,London,Weston Centre,https://www.abf.co.uk,,GBp,LSE,15830679552,"Associated British Foods plc operates as a diversified food, ingredients, and retail company worldwide. It operates through five segments: Retail, Grocery, Ingredients, Sugar, and Agriculture. The Retail segment is involved in buying and merchandising clothing and accessories through the Primark and Penneys retail chains, which offer women's, men's, and kids wear, as well as beauty, homeware, and accessories. The Grocery segment manufactures and sells grocery products, including hot beverages, sugar, vegetable oils, balsamic vinegars, bread and baked goods, cereals, ethnic foods, and meat products to retail, wholesale, and foodservice businesses. The Ingredients segment manufactures yeast and bakery ingredients, enzymes, procession extracts, and health and nutrition and pharmaceutical delivery systems. The Sugar segment is involved in growing and processing sugar beet and sugar cane. The Agriculture segment manufactures specialty feed ingredients, premix and compound animal feed, as well as other products and services for the agriculture sector. The company was incorporated in 1934 and is headquartered in London, the United Kingdom. Associated British Foods plc operates as a subsidiary of Wittington Investments Limited."
ABN.AS,ABN AMRO Bank N.V.,Financial Services,Banks - Diversified,22278,Netherlands,Amsterdam,Gustav Mahlerlaan 10,https://www.abnamro.nl,31 10 241 1720,EUR,AMS,21343633408,"ABN AMRO Bank N.V. provides various banking products and financial services to retail, private, and business clients in the Netherlands, rest of Europe, the United States, Asia, and internationally. It operates through three segments: Personal & Business Banking, Wealth Management, and Corporate Banking. The company offers flexible, children's, and automative savings, as well as fixed deposits. It also provides car finance, home improvement, and major purchase loans; mortgage products; investment products; and car, home contents, home, personal liability, annual travel, short-term travel, legal expenses, and student insurances. In addition, the company offers pension savings and investment; asset-based solutions, including working capital solutions, equipment leases and loans, and vendor lease services; clearing services; equity brokerage services; payment and credit cards services; and internet and online banking. The company was incorporated in 2009 and is headquartered in Amsterdam, the Netherlands. ABN AMRO Bank N.V. is a subsidiary of Stichting Administratiekantoor Continuïteit Abn Amro Bank."
AC.PA,Accor SA,Consumer Cyclical,Lodging,19423,France,Issy-les-Moulineaux,"82, rue Henri-Farman",https://group.accor.com/en,33 1 45 38 88 00,EUR,PAR,9882624000,"Accor SA operates a chain of hotels worldwide. It operates through Premium, Midscale and Economy; and Luxury & Lifestyle segments. The Premium, Midscale and Economy segment includes the Ibis, Novotel, Mercure, Swissôtel, Mövenpick, and Pullman brands operating in Europe and North Africa, the Middle East, Africa, the Asia-Pacific, the Americas, and China. Its Luxury & Lifestyle segment includes the Raffles and Fairmont, Sofitel, MGallery and Emblems, and Ennismore brands. The company also owns, leases, manages, and franchises hotels. In addition, it provides discount card programs; catering and event management; digital, online hotel booking, and concierge services; and other services in events, fine dining, and entertainment, as well as rental of luxury private residences; and operation of performance venues and coworking spaces. Further, the company offers hotel management, procurement, cash management, IT, and advertising services, as well as various advisory services. Accor SA was incorporated in 1960 and is headquartered in Issy-les-Moulineaux, France."
ACA.PA,Crédit Agricole S.A.,Financial Services,Banks - Regional,80518,France,Montrouge,12 place des Etats-Unis,https://www.credit-agricole.com,33 1 57 72 90 45,EUR,PAR,50257727488,"Crédit Agricole S.A. provides retail, corporate, insurance, and investment banking products and services in France and internationally. It operates through five segments: Asset Gathering, Large Customers, Specialised Financial Services, French Retail Banking  LCL, and International Retail Banking. The company offers banking products and services, finance, savings, wealth management, payment, and cash flow management services; consumer finance products; savings/retirement, death and disability/creditor/group, and property and casualty insurance products; investment solutions; and banking and specialized financial services. It also provides investment banking, structured finance, international trade finance, commercial banking, capital market, and syndication services; financing solutions for property and equipment investment and renewal requirements; trade receivable financing and management solutions for corporates; asset servicing solutions for investment products, as well as various asset classes, such as execution, clearing, forex, security lending and borrowing, custody, depositary bank, fund administration, middle-office outsourcing solutions, and fund distribution support and issuer services; and online banking services. The company serves retail customers, corporates, banks and financial institutions, government agencies, and local authorities. Crédit Agricole S.A. was founded in 1894 and is headquartered in Montrouge, France. Crédit Agricole S.A. is a subsidiary of SAS Rue La Boetie."
