TICKER,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY
A2A.MI,true,20.10,10.59,4.90,4.61,1
AAF.L,true,22.69,6.52,11.82,4.35,2
AAL.L,true,25.79,14.22,8.96,2.62,3
ABB.ST,true,18.41,6.64,7.59,4.18,2
ABBN.SW,true,18.41,6.64,7.59,4.18,2
ABF.L,true,31.70,13.88,12.84,4.98,2
ABN.AS,true,16.34,0.26,9.63,6.45,2
AC.PA,true,20.92,10.03,8.01,2.88,2
ACA.PA,true,20.59,1.12,11.59,7.87,2
ACS.MC,true,25.96,10.77,10.73,4.47,2
ACX.MC,true,25.04,10.71,10.08,4.24,2
AD.AS,true,19.83,8.03,9.97,1.83,2
ADDT-B.ST,true,20.44,6.86,7.11,6.47,0
ADM.L,true,24.23,1.46,11.00,11.77,0
ADS.DE,true,16.10,3.85,8.35,3.90,3
ADYEN.AS,true,19.64,4.77,9.85,5.02,0
AENA.MC,true,9.90,1.47,4.59,3.83,1
AGN.AS,true,13.85,0.11,9.73,4.00,1
AHT.L,true,14.02,4.66,5.20,4.16,2
AI.PA,true,13.78,9.22,3.36,1.20,2
AIR.DE,true,24.07,5.69,12.64,5.74,3
AIR.PA,true,24.07,5.69,12.64,5.74,3
AKZA.AS,true,19.00,8.57,5.73,4.71,2
ALC.SW,true,19.78,3.80,11.03,4.95,1
ALFA.ST,true,25.61,10.63,10.66,4.32,0
ALV.DE,true,11.34,0.41,6.29,4.63,2
ALW.L,false,,,,,
AMP.MI,true,14.49,2.60,5.57,6.32,0
AMRZ.SW,false,,,,,
AMS.MC,true,14.52,3.37,8.53,2.62,1
ANA.MC,true,18.79,5.27,9.14,4.38,2
ANE.MC,true,9.36,0.63,5.00,3.73,0
ANTO.L,true,23.87,12.90,8.27,2.70,2
ASM.AS,true,7.55,2.95,3.00,1.60,0
ASML.AS,true,10.23,3.94,3.00,3.29,2
ASRNL.AS,true,12.30,0.43,8.49,3.38,1
ASSA-B.ST,true,19.62,8.74,5.25,5.63,1
ATCO-A.ST,true,20.21,7.67,7.74,4.80,1
AUTO.L,true,14.86,0.77,9.69,4.40,0
AV.L,true,15.73,1.01,9.99,4.73,2
AZM.MI,true,20.42,2.05,8.97,9.40,1
AZN.L,true,23.13,2.86,14.34,5.92,2
AZN.ST,true,23.13,2.86,14.34,5.92,2
BA.L,true,25.44,9.60,13.33,2.52,2
BAB.L,true,31.02,9.86,16.49,4.67,1
BAMI.MI,true,13.24,0.67,8.47,4.11,1
BARC.L,true,16.90,1.11,11.19,4.59,3
BAS.DE,true,28.96,16.88,8.08,4.00,3
BATS.L,true,30.40,5.07,15.71,9.61,3
BAYN.DE,true,26.96,4.09,18.30,4.58,5
BBVA.MC,true,12.90,0.26,7.35,5.29,2
BC.MI,true,21.38,5.56,10.31,5.50,0
BEI.DE,true,28.98,9.98,11.64,7.37,2
BESI.AS,true,9.38,3.59,3.04,2.76,0
BEZ.L,true,17.13,1.44,8.69,7.00,1
BKG.L,true,12.50,5.04,4.49,2.97,2
BKT.MC,true,23.94,1.57,12.97,9.40,1
BMED.MI,true,23.98,,,,0
BMPS.MI,true,21.38,,,,2
BMW.DE,true,23.09,7.80,9.32,5.97,2
BN.PA,true,17.63,9.13,6.69,1.81,2
BNP.PA,true,17.23,1.06,9.38,6.79,2
BNR.DE,true,12.55,3.95,5.42,3.18,1
BNZL.L,true,17.17,4.39,7.83,4.94,0
BOL.ST,true,18.44,9.13,6.89,2.41,2
BP.L,true,38.33,19.90,11.55,6.87,3
BPE.MI,true,12.66,0.52,7.74,4.40,1
