TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
A2A.MI,8.1961550,11.838889000,1.38556580,6.086,4.72,0.38680000,6667025408,12391019520,3128590080
AAF.L,32.4285700,18.916668000,319.71832000,6.560,2.19,0.71650004,8277849600,14091200512,3646629888
AAL.L,,15.369698000,156.32127000,6.536,0.95,5.61020040,27101726720,45321121792,1068680000
ABB.ST,31.0654200,25.229600000,86.23686000,180.871,1.54,0.44810000,1218664726528,1215091834880,1821929984
ABBN.SW,31.3370190,36.127388000,7.35763400,16.170,1.59,0.44810000,103339868160,108633415680,1821929984
ABF.L,10.9322030,0.090939000,128.82823000,6.871,3.24,0.35529998,15830679552,17039200256,711515008
ABN.AS,9.9806200,11.051502000,0.78051585,,5.09,0.52230000,21343633408,44843999232,824649024
AC.PA,18.2857130,16.582994000,2.93073840,13.588,3.10,0.56250000,9882624000,13411291136,236898000
ACA.PA,7.0772533,8.163366000,0.36588340,,6.75,0.47230000,50257727488,-25879476224,3047770112
ACS.MC,21.2461550,36.342106000,4.21293500,8.945,2.91,0.61939996,17474347008,21248462848,253068000
ACX.MC,29.2432420,8.519685000,1.25188020,12.109,5.73,1.67570010,2696819968,3949736960,249244000
AD.AS,17.0495050,12.661764000,2.20401880,8.798,3.44,0.57919997,31557576704,46697242624,907832000
ADDT-B.ST,46.0833320,42.321426000,12.30575200,27.541,0.96,0.38889998,89224667136,95043469312,257023008
ADM.L,12.1470590,0.182118830,705.07900000,8.593,5.37,0.52419996,9893662720,9775206400,298902016
ADS.DE,26.8872180,24.162163000,6.14411900,15.894,1.12,0.30030000,31924559872,36969574400,178548992
ADYEN.AS,42.9283680,244.676270000,9.16847500,28.659,,0.00000000,43642040320,30562109440,31508100
AENA.MC,13.2473120,4.099833500,4.63768100,12.214,3.96,0.52500000,36959997952,42879815680,1500000000
AGN.AS,8.4205130,7.463636400,1.12215950,,5.80,0.44869998,10282400768,11586112512,1565529984
AHT.L,21.3122520,15.538905000,298.39514000,6.971,1.52,0.57360000,23552901120,33208125440,423220000
AI.PA,29.8853300,25.909357000,4.16880300,15.023,1.89,0.55650000,103631880192,113956003840,576699008
AIR.DE,31.0865380,40.496870000,6.65614370,21.702,1.06,0.32050000,152726274048,154929364992,787329984
AIR.PA,31.0897450,27.635328000,6.65683030,21.704,1.06,0.32050000,152742019072,154945191936,787329984
AKZA.AS,25.4833320,13.501103000,2.50737950,13.292,3.25,0.82410000,10632849408,14953909248,171042000
ALC.SW,36.3255800,20.220066000,1.39685670,14.841,0.45,0.15770000,31246059520,34757111808,494400000
ALFA.ST,22.5218730,19.945305000,4.48222900,14.718,1.94,0.43770000,180871462912,189558587392,413326016
ALV.DE,13.5019150,12.960647000,2.36684800,2.617,4.38,0.59050000,135868170240,43406028800,385551008
ALW.L,34.0000000,,98.96161000,,,,4955337216,,392024000
AMP.MI,27.4107150,15.505051000,3.37511010,14.254,1.90,0.52010000,3464510208,5015006208,219936992
AMRZ.SW,22.3756350,16.497438000,1.96076690,10.710,,0.00000000,24379854848,30950856704,553081984
AMS.MC,22.9629610,28.065842000,5.69852900,13.565,2.04,0.46800000,30023274496,32076984320,437971008
ANA.MC,11.0740010,18.420479000,2.02648450,7.988,3.12,0.00000000,9227398144,19106492416,54503200
ANE.MC,9.8260870,11.300000000,1.25835190,8.272,1.95,0.19139999,7336253952,12647244800,324612992
ANTO.L,26.8292700,28.205130000,223.01065000,7.257,1.36,0.28550000,21688854528,27819546624,985857024
ASM.AS,39.9438740,24.358242000,5.87523030,18.540,0.71,0.28059998,20881324032,19961681920,48902400
ASML.AS,28.4883730,28.370554000,15.08421600,21.685,0.95,0.26600000,269735198720,262206406656,393200000
ASRNL.AS,12.6783360,11.681451000,1.21307290,-9.143,5.60,0.68270000,11943925760,-58250780672,206000000
ASSA-B.ST,25.9649120,22.233833000,3.80713770,16.351,1.73,0.43160000,377221054464,449290141696,1053249984
ATCO-A.ST,27.3043480,24.492981000,7.59407950,18.339,1.91,0.50430000,734427152384,778500767744,3307460096
AUTO.L,24.4812500,0.216468660,1210.81920000,17.637,1.34,0.31370002,7040102400,6859020288,870521024
AV.L,30.3454530,0.131288100,211.33270000,1.645,5.55,1.60809990,20288763904,4000864000,3039059968
AZM.MI,8.9093560,9.261398000,2.42383270,5.804,5.84,0.51110000,4330578944,3964786944,142126000
AZN.L,30.4223900,16.559557000,414.40506000,11.043,2.05,0.59040000,186219479040,211239993344,1550249984
AZN.ST,30.4851040,14.992082000,52.49384700,124.080,2.09,0.59040000,2354956730368,2373396987904,1550249984
BA.L,29.9615400,0.255342870,538.87660000,19.623,1.86,0.50690000,56929902592,65854525440,2923229952
BAB.L,23.5416680,0.230189440,943.23880000,14.191,0.59,0.11040000,5694906880,6096420352,501999008
BAMI.MI,7.7879750,13.521978000,1.21076450,,8.18,0.63290000,18515826688,33358845952,1504739968
BARC.L,9.2573170,0.093462200,86.10480500,,2.27,0.20740000,53190135808,89095053312,14014000128
BAS.DE,102.2093050,9.371002000,1.21231350,10.158,5.15,5.23260000,39226343424,63243341824,892521984
BATS.L,30.2158280,0.112960920,203.91320000,10.018,5.72,1.70770000,91651145728,122882998272,2182170112
BAYN.DE,,5.419173000,0.93261737,8.371,0.39,1.63270010,28323282944,61385166848,982424000
BBVA.MC,9.2102270,17.244680000,1.64401610,,4.33,0.39770000,93314801664,110184062976,5756619776
BC.MI,50.8453600,46.748817000,13.62807400,28.429,0.97,0.48479998,6695337472,7704873984,67876496
BEI.DE,23.9240510,19.936710000,2.47052360,11.630,1.05,0.25320000,20920315904,18759331840,221379008
BESI.AS,53.3568040,31.222527000,25.20514700,45.506,1.94,1.02350000,8976066560,9043678208,78979904
BEZ.L,7.0714290,7.135134700,104.65116000,-3.723,3.16,0.21420000,4755452928,-6008584192,599683008
BKG.L,9.8378380,0.107460216,101.19543500,6.518,1.87,0.18160000,3560087552,3269375232,95679504
BKT.MC,11.7207210,19.417910000,1.79374060,,4.62,0.51430000,11691788288,3037332480,898676992
BMED.MI,11.2207800,14.400000000,3.05786590,,7.37,0.65099996,12773463040,-28065073152,739204992
BMPS.MI,6.0320897,8.691398000,0.88765650,,10.86,0.64320000,10182074368,10306471936,1259689984
BMW.DE,9.0883620,6.129360000,0.56582760,9.830,5.12,0.46340000,51410796544,144976445440,559366016
BN.PA,26.2456170,19.736149000,3.03522180,12.714,2.89,0.75440000,48432328704,57392410624,643852032
BNP.PA,8.4209970,7.972892000,0.78054200,,6.13,0.50800000,88767676416,-464107044864,1117840000
BNR.DE,17.2517010,10.023716000,1.73901120,9.449,4.13,0.71430000,7323207168,10267425792,144384992
BNZL.L,17.4206890,0.122229750,324.26187000,10.998,2.94,0.50830000,8414510592,10577794048,324423008
BOL.ST,11.3394990,10.863144000,1.33203480,7.589,2.56,0.00000000,94571995136,113834287104,284084992
BP.L,141.6500100,8.332354000,112.24248000,4.626,5.80,7.54090000,65653080064,126508064768,15449600000
BPE.MI,8.4807340,10.158242000,1.14561900,,6.57,0.54950000,17968488448,21944442880,1943800064
BPSO.MI,9.0069450,14.573034000,1.34767260,,6.26,0.55670000,5834178560,14207406080,449820992
