TICKER,YEAR,ASSETS,LIABILITIES,EQUITY,REVENUE,EXPENSES,NET_INCOME,OPERATING_CF,INVESTING_CF,FINANCING_CF,FREE_CF,NET_MARGIN,ROA,ROE,DEBT_EQUITY
A2A.MI,2021,18008000000.0000,13705000000.0000,3760000000.0000,11352000000.0000,10848000000.0000,504000000.000000,1135000000.00000,-1595000000.000000,412000000.000000,61000000.00000,0.044,0.028,0.134,3.645
A2A.MI,2022,21367000000.0000,16900000000.0000,3899000000.0000,22938000000.0000,22537000000.0000,401000000.000000,1260000000.00000,-1142000000.000000,1502000000.000000,20000000.00000,0.017,0.019,0.103,4.334
A2A.MI,2023,18798000000.0000,13996000000.0000,4240000000.0000,14492000000.0000,13833000000.0000,659000000.000000,1040000000.00000,-1359000000.000000,-636000000.000000,-336000000.00000,0.045,0.035,0.155,3.301
A2A.MI,2024,19894000000.0000,13891000000.0000,5445000000.0000,12570000000.0000,11706000000.0000,864000000.000000,1139000000.00000,-2813000000.000000,1594000000.000000,-373000000.00000,0.069,0.043,0.159,2.551
AAF.L,2021,,,,,,,,,,,,,,
AAF.L,2022,10364000000.0000,6715000000.0000,3502000000.0000,4714000000.0000,4083000000.0000,631000000.000000,2011000000.00000,-557000000.000000,-1607000000.000000,1272000000.00000,0.134,0.061,0.180,1.917
AAF.L,2023,11166000000.0000,7358000000.0000,3635000000.0000,5255000000.0000,4592000000.0000,663000000.000000,2229000000.00000,-1026000000.000000,-1139000000.000000,948000000.00000,0.126,0.059,0.182,2.024
AAF.L,2024,9861000000.0000,7561000000.0000,2160000000.0000,4979000000.0000,5144000000.0000,-165000000.000000,2259000000.00000,-1228000000.000000,-844000000.000000,1230000000.00000,-0.033,-0.017,-0.076,3.500
AAL.L,2021,65985000000.0000,31215000000.0000,27825000000.0000,41554000000.0000,32992000000.0000,8562000000.000000,16723000000.00000,-5558000000.000000,-9356000000.000000,10915000000.00000,0.206,0.130,0.308,1.122
AAL.L,2022,67407000000.0000,33454000000.0000,27318000000.0000,35118000000.0000,30604000000.0000,4514000000.000000,9765000000.00000,-5817000000.000000,-4368000000.000000,3445000000.00000,0.129,0.067,0.165,1.225
AAL.L,2023,66544000000.0000,34927000000.0000,25057000000.0000,30652000000.0000,30369000000.0000,283000000.000000,6496000000.00000,-5560000000.000000,-3223000000.000000,484000000.00000,0.009,0.004,0.011,1.394
AAL.L,2024,64866000000.0000,36333000000.0000,20760000000.0000,27290000000.0000,30358000000.0000,-3068000000.000000,8103000000.00000,-5135000000.000000,-840000000.000000,2490000000.00000,-0.112,-0.047,-0.148,1.750
ABB.ST,2021,40260000000.0000,24303000000.0000,15579000000.0000,28945000000.0000,24399000000.0000,4546000000.000000,3330000000.00000,2307000000.000000,-4968000000.000000,2510000000.00000,0.157,0.113,0.292,1.560
ABB.ST,2022,39148000000.0000,25876000000.0000,12777000000.0000,29446000000.0000,26971000000.0000,2475000000.000000,1287000000.00000,981000000.000000,-2394000000.000000,525000000.00000,0.084,0.063,0.194,2.025
ABB.ST,2023,40940000000.0000,26794000000.0000,13410000000.0000,32235000000.0000,28490000000.0000,3745000000.000000,4290000000.00000,-1615000000.000000,-2897000000.000000,3520000000.00000,0.116,0.091,0.279,1.998
ABB.ST,2024,40357000000.0000,25297000000.0000,14488000000.0000,32850000000.0000,28915000000.0000,3935000000.000000,4675000000.00000,-725000000.000000,-3326000000.000000,3830000000.00000,0.120,0.098,0.272,1.746
ABBN.SW,2021,40260000000.0000,24303000000.0000,15579000000.0000,28945000000.0000,24399000000.0000,4546000000.000000,3330000000.00000,2307000000.000000,-4968000000.000000,2510000000.00000,0.157,0.113,0.292,1.560
ABBN.SW,2022,39148000000.0000,25876000000.0000,12777000000.0000,29446000000.0000,26971000000.0000,2475000000.000000,1287000000.00000,981000000.000000,-2394000000.000000,525000000.00000,0.084,0.063,0.194,2.025
ABBN.SW,2023,40940000000.0000,26794000000.0000,13410000000.0000,32235000000.0000,28490000000.0000,3745000000.000000,4290000000.00000,-1615000000.000000,-2897000000.000000,3520000000.00000,0.116,0.091,0.279,1.998
ABBN.SW,2024,40357000000.0000,25297000000.0000,14488000000.0000,32850000000.0000,28915000000.0000,3935000000.000000,4675000000.00000,-725000000.000000,-3326000000.000000,3830000000.00000,0.120,0.098,0.272,1.746
ABF.L,2021,,,,,,,,,,,,,,
ABF.L,2021,,,,,,,,,,,,,,
ABF.L,2022,19775000000.0000,8221000000.0000,11448000000.0000,16997000000.0000,16297000000.0000,700000000.000000,1153000000.00000,-744000000.000000,-677000000.000000,384000000.00000,0.041,0.035,0.061,0.718
ABF.L,2022,,,,,,,,,,,,,,
ABF.L,2023,18844000000.0000,7651000000.0000,11093000000.0000,19750000000.0000,18706000000.0000,1044000000.000000,1654000000.00000,-906000000.000000,-1282000000.000000,581000000.00000,0.053,0.055,0.094,0.690
ABF.L,2023,18844000000.0000,7651000000.0000,11093000000.0000,19750000000.0000,18706000000.0000,1044000000.000000,1654000000.00000,-903000000.000000,-1285000000.000000,581000000.00000,0.053,0.055,0.094,0.690
ABF.L,2024,19014000000.0000,7736000000.0000,11186000000.0000,20073000000.0000,18618000000.0000,1455000000.000000,2874000000.00000,-1332000000.000000,-1569000000.000000,1690000000.00000,0.072,0.077,0.130,0.692
ABN.AS,2021,399113000000.0000,377114000000.0000,21994000000.0000,7340000000.0000,6109000000.0000,1231000000.000000,9602000000.00000,3862000000.000000,-7383000000.000000,9400000000.00000,0.168,0.003,0.056,17.146
ABN.AS,2022,379581000000.0000,356766000000.0000,22813000000.0000,7640000000.0000,5773000000.0000,1867000000.000000,-8142000000.00000,-239000000.000000,2948000000.000000,-8330000000.00000,0.244,0.005,0.082,15.639
ABN.AS,2023,377909000000.0000,353740000000.0000,24166000000.0000,8586000000.0000,5889000000.0000,2697000000.000000,-9028000000.00000,-1722000000.000000,3218000000.000000,-9318000000.00000,0.314,0.007,0.112,14.638
ABN.AS,2024,385047000000.0000,358938000000.0000,26106000000.0000,8896000000.0000,6493000000.0000,2403000000.000000,-10795000000.00000,-4811000000.000000,6162000000.000000,-11247000000.00000,0.270,0.006,0.092,13.749
AC.PA,2021,10769000000.0000,6172000000.0000,4283000000.0000,2204000000.0000,2119000000.0000,85000000.000000,-240000000.00000,-99000000.000000,-466000000.000000,-320000000.00000,0.039,0.008,0.020,1.441
AC.PA,2022,11713000000.0000,6257000000.0000,5059000000.0000,4224000000.0000,3822000000.0000,402000000.000000,511000000.00000,-157000000.000000,-381000000.000000,400000000.00000,0.095,0.034,0.079,1.237
AC.PA,2023,11267000000.0000,5956000000.0000,4931000000.0000,5056000000.0000,4423000000.0000,633000000.000000,669000000.00000,16000000.000000,-1045000000.000000,415000000.00000,0.125,0.056,0.128,1.208
AC.PA,2024,12057000000.0000,6588000000.0000,5032000000.0000,5606000000.0000,4996000000.0000,610000000.000000,733000000.00000,-358000000.000000,-400000000.000000,440000000.00000,0.109,0.051,0.121,1.309
ACA.PA,2021,2073955000000.0000,1997039000000.0000,68217000000.0000,21397000000.0000,15553000000.0000,5844000000.000000,10930000000.00000,-838000000.000000,-1701000000.000000,10054000000.00000,0.273,0.003,0.086,29.275
ACA.PA,2022,2138086000000.0000,2062606000000.0000,66519000000.0000,20646000000.0000,15340000000.0000,5306000000.000000,1463000000.00000,-5035000000.000000,598000000.000000,421000000.00000,0.257,0.002,0.080,31.008
ACA.PA,2023,2189398000000.0000,2109479000000.0000,71086000000.0000,23454000000.0000,17106000000.0000,6348000000.000000,-36512000000.00000,9852000000.000000,16546000000.000000,-37397000000.00000,0.271,0.003,0.089,29.675
ACA.PA,2024,2309782000000.0000,2226471000000.0000,74710000000.0000,25328000000.0000,18241000000.0000,7087000000.000000,-15909000000.00000,-1782000000.000000,9447000000.000000,-16979000000.00000,0.280,0.003,0.095,29.802
ACS.MC,2021,35664345000.0000,28636142000.0000,6334304000.0000,27836658000.0000,24791245000.0000,3045413000.000000,203141000.00000,3397643000.000000,-770952000.000000,-183066000.00000,0.109,0.085,0.481,4.521
ACS.MC,2022,37580300000.0000,31204423000.0000,5547396000.0000,33615234000.0000,32947007000.0000,668227000.000000,1743338000.00000,-198099000.000000,-3537774000.000000,1458163000.00000,0.020,0.018,0.120,5.625
ACS.MC,2023,36498270000.0000,30867699000.0000,5329419000.0000,35737759000.0000,34957636000.0000,780123000.000000,1502337000.00000,-15747000.000000,-1652857000.000000,1006805000.00000,0.022,0.021,0.146,5.792
ACS.MC,2024,42025282000.0000,36910352000.0000,4714213000.0000,41633120000.0000,40805540000.0000,827580000.000000,2792874000.00000,-1248584000.000000,496661000.000000,2132023000.00000,0.020,0.020,0.176,7.830
ACX.MC,2021,5984222000.0000,3769360000.0000,2155040000.0000,6705739000.0000,6133857000.0000,571882000.000000,387814000.00000,-90436000.000000,10314000.000000,285672000.00000,0.085,0.096,0.265,1.749
ACX.MC,2022,6318147000.0000,3770454000.0000,2474097000.0000,8688494000.0000,8132440000.0000,556054000.000000,544083000.00000,-125500000.000000,-216035000.000000,407366000.00000,0.064,0.088,0.225,1.524
ACX.MC,2023,6098769000.0000,3635643000.0000,2408430000.0000,6607978000.0000,6379850000.0000,228128000.000000,481476000.00000,-174696000.000000,-5566000.000000,306573000.00000,0.035,0.037,0.095,1.510
ACX.MC,2024,6469319000.0000,3894248000.0000,2527317000.0000,5413128000.0000,5188182000.0000,224946000.000000,293673000.00000,-896460000.000000,-36028000.000000,88888000.00000,0.042,0.035,0.089,1.541
AD.AS,2021,45712000000.0000,31992000000.0000,13720000000.0000,75600000000.0000,73354000000.0000,2246000000.000000,5468000000.00000,-2634000000.000000,-3052000000.000000,3097000000.00000,0.030,0.049,0.164,2.332
AD.AS,2022,48555000000.0000,33150000000.0000,15405000000.0000,86984000000.0000,84438000000.0000,2546000000.000000,6110000000.00000,-2014000000.000000,-4188000000.000000,3620000000.00000,0.029,0.052,0.165,2.152
AD.AS,2023,47821000000.0000,33066000000.0000,14755000000.0000,88734000000.0000,86860000000.0000,1874000000.000000,6466000000.00000,-2209000000.000000,-3781000000.000000,6466000000.00000,0.021,0.039,0.127,2.241
AD.AS,2024,51842000000.0000,36388000000.0000,15454000000.0000,89357000000.0000,87593000000.0000,1764000000.000000,6224000000.00000,-1727000000.000000,-1983000000.000000,6224000000.00000,0.020,0.034,0.114,2.355
ADDT-B.ST,2021,,,,,,,,,,,,,,
ADDT-B.ST,2022,12427000000.0000,8168000000.0000,3931000000.0000,14038000000.0000,12964000000.0000,1074000000.000000,1121000000.00000,-1255000000.000000,147000000.000000,995000000.00000,0.077,0.086,0.273,2.078
ADDT-B.ST,2023,15271000000.0000,9698000000.0000,5184000000.0000,18714000000.0000,17219000000.0000,1495000000.000000,1911000000.00000,-1387000000.000000,-371000000.000000,1714000000.00000,0.080,0.098,0.288,1.871
ADDT-B.ST,2024,16657000000.0000,10179000000.0000,5974000000.0000,20019000000.0000,18387000000.0000,1632000000.000000,2575000000.00000,-1482000000.000000,-922000000.000000,2386000000.00000,0.082,0.098,0.273,1.704
ADM.L,2021,6336700000.0000,5053800000.0000,1280600000.0000,1547400000.0000,549500000.0000,997900000.000000,244600000.00000,387800000.000000,-564800000.000000,175400000.00000,0.645,0.157,0.779,3.946
ADM.L,2022,6208800000.0000,5321800000.0000,885800000.0000,3049000000.0000,2762500000.0000,286500000.000000,476900000.00000,-101000000.000000,-425000000.000000,378300000.00000,0.094,0.046,0.323,6.008
ADM.L,2023,7096200000.0000,6103400000.0000,991800000.0000,3553100000.0000,3215100000.0000,338000000.000000,279000000.00000,-75900000.000000,-171800000.000000,203100000.00000,0.095,0.048,0.341,6.154
ADM.L,2024,7944200000.0000,6573500000.0000,1370100000.0000,4866600000.0000,4203300000.0000,663300000.000000,369000000.00000,-144200000.000000,-257900000.000000,224800000.00000,0.136,0.083,0.484,4.798
ADS.DE,2021,22137000000.0000,14300000000.0000,7519000000.0000,21234000000.0000,19118000000.0000,2116000000.000000,3192000000.00000,-424000000.000000,-2991000000.000000,2525000000.00000,0.100,0.096,0.281,1.902
ADS.DE,2022,20296000000.0000,14945000000.0000,4991000000.0000,22511000000.0000,21899000000.0000,612000000.000000,-479000000.00000,495000000.000000,-2963000000.000000,-1174000000.00000,0.027,0.030,0.123,2.994
ADS.DE,2023,18020000000.0000,13095000000.0000,4580000000.0000,21427000000.0000,21502000000.0000,-75000000.000000,2550000000.00000,-451000000.000000,-1425000000.000000,2046000000.00000,-0.004,-0.004,-0.016,2.859
ADS.DE,2024,20655000000.0000,14787000000.0000,5476000000.0000,23683000000.0000,22919000000.0000,764000000.000000,2910000000.00000,-356000000.000000,-1559000000.000000,2370000000.00000,0.032,0.037,0.140,2.700
ADYEN.AS,2021,5775606000.0000,3965192000.0000,1810414000.0000,5995419000.0000,5525702000.0000,469717000.000000,1820146000.00000,-42130000.000000,96240000.000000,1765800000.00000,0.078,0.081,0.259,2.190
ADYEN.AS,2022,7620288000.0000,5204232000.0000,2416056000.0000,8935611000.0000,8371472000.0000,564139000.000000,2021158000.00000,-87691000.000000,-12218000.000000,1922060000.00000,0.063,0.074,0.233,2.154
ADYEN.AS,2023,9568371000.0000,6417504000.0000,3150867000.0000,1863406000.0000,1165084000.0000,698322000.000000,1870040000.00000,-69743000.000000,-20610000.000000,1800297000.00000,0.375,0.073,0.222,2.037
ADYEN.AS,2024,,,,2225601000.0000,1300438000.0000,925163000.000000,1704775000.00000,-118623000.000000,70598000.000000,1603526000.00000,0.416,,,
AENA.MC,2021,15874057000.0000,10313637000.0000,5648540000.0000,2435927000.0000,2911375000.0000,-475448000.000000,280472000.00000,-660912000.000000,619807000.000000,-390611000.00000,-0.195,-0.030,-0.084,1.826
AENA.MC,2022,15849198000.0000,9206723000.0000,6717622000.0000,4190195000.0000,3288696000.0000,901499000.000000,1863166000.00000,-664156000.000000,-1089288000.000000,1135474000.00000,0.215,0.057,0.134,1.371
AENA.MC,2023,17556226000.0000,9998113000.0000,7627305000.0000,5039822000.0000,3409008000.0000,1630814000.000000,2219815000.00000,-1419117000.000000,-19609000.000000,835491000.00000,0.324,0.093,0.214,1.311
AENA.MC,2024,16975364000.0000,8767164000.0000,8276386000.0000,5763531000.0000,3829307000.0000,1934224000.000000,2746939000.00000,-804349000.000000,-2429149000.000000,1921755000.00000,0.336,0.114,0.234,1.059
AGN.AS,2021,459560000000.0000,445983000000.0000,13381000000.0000,42546000000.0000,40566000000.0000,1980000000.000000,-1796000000.00000,-54000000.000000,300000000.000000,-1908000000.00000,0.047,0.004,0.148,33.330
AGN.AS,2022,380711000000.0000,369776000000.0000,10758000000.0000,-21643000000.0000,-21073000000.0000,-570000000.000000,2672000000.00000,733000000.000000,-1834000000.000000,2574000000.00000,0.026,-0.001,-0.053,34.372
