TICKER_YAHOO,NOMBRE,PAIS,TICKET
ITX.MC,"Industria de Diseno Textil, S.A.",España,ITX
SAN.MC,"Banco Santander, S.A.",España,SAN
IBE.MC,Iberdrola SA,España,IBE
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",España,BBVA
CABK.MC,CaixaBank SA,España,CABK
AENA.MC,Aena SME SA,España,AENA
FER.MC,Ferrovial SE,España,FER
AMS.MC,Amadeus IT Group SA Class A,España,AMS
ELE.MC,Endesa S.A.,España,ELE
TEF.MC,Telefonica SA,España,TEF
MTS.MC,ArcelorMittal SA,España,MTS
NTGY.MC,"Naturgy Energy Group, S.A.",España,NTGY
CLNX.MC,Cellnex Telecom S.A.,España,CLNX
IAG.MC,International Consolidated Airlines Group SA,España,IAG
ACS.MC,"ACS, Actividades de Construccion y Servicios SA",España,ACS
REP.MC,Repsol SA,España,REP
SAB.MC,Banco de Sabadell SA,España,SAB
MAP.MC,Mapfre SA,España,MAP
BKT.MC,Bankinter SA,España,BKT
ANA.MC,Acciona SA,España,ANA
RED.MC,Redeia Corporacion SA,España,RED
PUIG.MC,"Puig Brands, S.A. Class B",España,PUIG
ANE.MC,Corporacion Acciona Energias Renovables SA,España,ANE
GRF.MC,"Grifols, S.A. Class A",España,GRF
MRL.MC,"MERLIN Properties SOCIMI, S.A.",España,MRL
UNI.MC,Unicaja Banco S.A.,España,UNI
IDR.MC,"Indra Sistemas, S.A. Class A",España,IDR
FDR.MC,"Fluidra, S.A.",España,FDR
LOG.MC,"Logista Integral, S.A.",España,LOG
COL.MC,Inmobiliaria Colonial SOCIMI SA,España,COL
ENG.MC,Enagas SA,España,ENG
ROVI.MC,"Laboratorios Farmaceuticos Rovi, S.A.",España,ROVI
SCYR.MC,Sacyr SA,España,SCYR
ACX.MC,Acerinox SA,España,ACX
SLR.MC,"Solaria Energia y Medio Ambiente, S.A.",España,SLR
SAP.DE,SAP SE,Alemania,SAP
SIE.DE,Siemens Aktiengesellschaft,Alemania,SIE
AIR.DE,Airbus SE,Alemania,AIR
DTE.DE,Deutsche Telekom AG,Alemania,DTE
ALV.DE,Allianz SE,Alemania,ALV
RHM.DE,Rheinmetall AG,Alemania,RHM
ENR.DE,Siemens Energy AG,Alemania,ENR
MUV2.DE,Munchener Ruckversicherungs-Gesellschaft AG,Alemania,MUV2
DBK.DE,Deutsche Bank Aktiengesellschaft,Alemania,DBK
SHL.DE,Siemens Healthineers AG,Alemania,SHL
VOW3.DE,Volkswagen AG Pref,Alemania,VOW3
MBG.DE,Mercedes-Benz Group AG,Alemania,MBG
BMW.DE,Bayerische Motoren Werke AG,Alemania,BMW
MRK.DE,Merck KGaA,Alemania,MRK
DHL.DE,Deutsche Post AG,Alemania,DHL
DB1.DE,Deutsche Boerse AG,Alemania,DB1
IFX.DE,Infineon Technologies AG,Alemania,IFX
EOAN.DE,E.ON SE,Alemania,EOAN
BAS.DE,BASF SE,Alemania,BAS
P911.DE,Porsche AG,Alemania,P911
CBK.DE,Commerzbank AG,Alemania,CBK
HEI.DE,Heidelberg Materials AG,Alemania,HEI
ADS.DE,adidas AG,Alemania,ADS
DTG.DE,Daimler Truck Holding AG,Alemania,DTG
HEN3.DE,Henkel AG & Co. KGaA Pref,Alemania,HEN3
HNR1.DE,Hannover Rueck SE,Alemania,HNR1
BAYN.DE,Bayer AG,Alemania,BAYN
RWE.DE,RWE AG,Alemania,RWE
FRE.DE,Fresenius SE & Co. KGaA,Alemania,FRE
VNA.DE,Vonovia SE,Alemania,VNA
BEI.DE,Beiersdorf AG,Alemania,BEI
MTX.DE,MTU Aero Engines AG,Alemania,MTX
CON.DE,Continental AG,Alemania,CON
SRT3.DE,Sartorius AG Pref,Alemania,SRT3
FME.DE,Fresenius Medical Care AG,Alemania,FME
SY1.DE,Symrise AG,Alemania,SY1
PAH3.DE,Porsche Automobil Holding SE Pref,Alemania,PAH3
QIA.DE,QIAGEN NV,Alemania,QIA
BNR.DE,Brenntag SE,Alemania,BNR
ZAL.DE,Zalando SE,Alemania,ZAL
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,Francia,MC
RMS.PA,Hermes International SCA,Francia,RMS
OR.PA,L'Oreal S.A.,Francia,OR
AIR.PA,Airbus SE,Francia,AIR
SU.PA,Schneider Electric SE,Francia,SU
EL.PA,EssilorLuxottica SA,Francia,EL
TTE.PA,TotalEnergies SE,Francia,TTE
SAF.PA,Safran SA,Francia,SAF
AI.PA,Air Liquide SA,Francia,AI
SAN.PA,Sanofi SA,Francia,SAN
BNP.PA,BNP Paribas S.A. Class A,Francia,BNP
CS.PA,AXA SA,Francia,CS
DG.PA,VINCI SA,Francia,DG
