Ticker,Year,CashAndCashEquivalents,CashFinancial,CashCashEquivalentsAndShortTermInvestments,TradingSecurities,OtherShortTermInvestments,AccountsReceivable,OtherReceivables,LoansHeldForSale,OtherCurrentAssets,LongTermInvestments,InvestmentsAndAdvances,Properties,MachineryFurnitureEquipment,ConstructionInProgress,OtherIntangibleAssets,Goodwill,GoodwillAndOtherIntangibleAssets,OtherNonCurrentAssets,DeferredTaxAssets,NetTangibleAssets,TotalAssets,AccountsPayable,CurrentNotesPayable,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentAccruedExpenses,PayablesAndAccruedExpenses,IncomeTaxPayable,TaxesPayable,SecuritiesSoldUnderRepurchaseAgreements,FederalFundsPurchasedAndSecuritiesSoldUnderRepurchaseAgreements,LiabilitiesOfDiscontinuedOperations,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,TotalDebt,NetDebt,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,ShareIssued,CommonStock,CapitalStock,CommonStockEquity,OrdinarySharesNumber,TreasuryStock,AdditionalPaidInCapital,InvestedCapital,TotalCapitalization,RetainedEarnings,UnrealizedGainLoss,GainsLossesNotAffectingRetainedEarnings,ForeignCurrencyTranslationAdjustments,OtherEquityAdjustments,TotalEquityGrossMinorityInterest,RevaluationReserve,TangibleBookValue
1COV.DE,2020,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1COV.DE,2021,649.0,,714.0,,65.0,2343.0,639.0,,6961.0,,,3871.0,14424.0,920.0,706.0,757.0,1463.0,8610.0,,6233.0,15571.0,2214.0,,50.0,180.0,0.0,2523.0,,,,,,1717.0,2348.0,300.0,300.0,2528.0,1118.0,7809.0,7696.0,193.2,193.0,193.0,7696.0,193.2,,3927.0,9463.0,9413.0,,,,,,7762.0,,6233.0
1COV.DE,2022,1198.0,,1203.0,,5.0,2011.0,264.0,,6669.0,,,4052.0,15041.0,937.0,603.0,729.0,1332.0,7916.0,,5754.0,14585.0,2016.0,,154.0,289.0,0.0,2280.0,,,,,,2756.0,3367.0,312.0,312.0,3656.0,1712.0,7463.0,7086.0,193.2,190.0,190.0,7086.0,189.95,,3788.0,9996.0,9842.0,2480.0,,2480.0,,,7122.0,,5754.0
1COV.DE,2023,625.0,,638.0,,13.0,1898.0,480.0,,5891.0,,,4049.0,15129.0,1043.0,519.0,711.0,1230.0,7746.0,,5360.0,13637.0,1895.0,,541.0,651.0,3.0,2017.0,,,,,,2106.0,2739.0,256.0,256.0,3390.0,2022.0,7019.0,6590.0,189.0,189.0,189.0,6590.0,188.74,,3740.0,9237.0,8696.0,2291.0,,2291.0,,,6618.0,,5360.0
1COV.DE,2024,509.0,,518.0,,9.0,1749.0,247.0,,5766.0,,,4149.0,15702.0,1262.0,471.0,719.0,1190.0,7865.0,,5468.0,13631.0,2101.0,,519.0,662.0,0.0,2262.0,,,,,,1843.0,2436.0,204.0,204.0,3098.0,1853.0,6952.0,6658.0,189.0,189.0,189.0,6658.0,188.74,,3740.0,9020.0,8501.0,2171.0,,2171.0,,,6679.0,,5468.0
1COV.DE,2025,489.0,,566.0,,77.0,1872.0,491.0,,5636.0,,,,,,437.0,699.0,1136.0,7573.0,,5017.0,13209.0,1828.0,,,,,1884.0,,,,,,,,215.0,215.0,,,7038.0,6153.0,188.74,189.0,189.0,6153.0,188.74,,3740.0,6153.0,6153.0,2027.0,,2027.0,,,6171.0,,5017.0
A2A.MI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,
A2A.MI,2021,964.0,,973.0,,9.0,1124.0,2386.0,,1.0,,,,,,2379.0,746.0,3125.0,25.0,,635.0,18008.0,2894.0,,723.0,746.0,,3694.0,,,,,,4233.0,4322.0,,,5068.0,3992.0,13705.0,3760.0,3132.91,1629.0,1629.0,3760.0,3070.46,0.0,,8716.0,7993.0,504.0,,504.0,,,4303.0,,635.0
A2A.MI,2022,2394.0,,2408.0,,14.0,1404.0,3554.0,,1.0,,,,,,2671.0,844.0,3515.0,74.0,,384.0,21367.0,5524.0,,991.0,1022.0,,6103.0,,,,,,5735.0,5867.0,,,6889.0,4332.0,16900.0,3899.0,3132.91,1629.0,1629.0,3899.0,3132.91,0.0,,10625.0,9634.0,401.0,,401.0,,,4467.0,,384.0
A2A.MI,2023,1629.0,,1662.0,,33.0,1807.0,2328.0,,1.0,,,,,,2784.0,846.0,3630.0,136.0,,610.0,18798.0,4105.0,,740.0,775.0,,4692.0,,,,,,5434.0,5576.0,,,6351.0,4545.0,13996.0,4240.0,3132.91,1629.0,1629.0,4240.0,3132.91,,,10414.0,9674.0,659.0,,659.0,,,4802.0,,610.0
