Ticker,Year,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,Net Income From Continuing Operations,DepreciationAmortizationDepletion,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,TaxesRefundPaid,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetInvestmentPurchaseAndSale,PurchaseOfInvestments,SaleOfInvestments,NetPPEPurchaseAndSale,PurchaseOfPPE,SaleOfPPE,NetIntangiblesPurchaseAndSale,PurchaseOfIntangibles,SaleOfIntangibles,NetBusinessPurchaseAndSale,PurchaseOfBusiness,SaleOfBusiness,Net Other Investing Changes,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetLongTermDebtIssuance,Net Issuance Payments Of Debt,LongTermDebtIssued,LongTermDebtPayments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Net Other Financing Charges,EndCashPosition,ChangeInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
1COV.DE,2020,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,448.0,,,,,,,,,448.0,,,,
1COV.DE,2021,2193.0,,1619.0,823.0,823.0,77.0,-343.0,353.0,,-343.0,-546.0,-1995.0,,179.0,-34.0,213.0,-753.0,-764.0,11.0,,,,-1457.0,-1469.0,12.0,,-965.0,,-624.0,-624.0,51.0,-675.0,2.0,2.0,0.0,-262.0,,649.0,-767.0,12.0,1404.0,-764.0,2.0,51.0,-675.0,0.0,1429.0
1COV.DE,2022,970.0,,-281.0,1350.0,1350.0,137.0,-106.0,-472.0,,-106.0,-538.0,-477.0,,253.0,-124.0,377.0,-811.0,-832.0,21.0,,,,6.0,0.0,6.0,,64.0,,995.0,995.0,2069.0,-1074.0,-142.0,8.0,-150.0,-654.0,-4.0,1198.0,557.0,-8.0,649.0,-832.0,8.0,2069.0,-1074.0,-150.0,138.0
1COV.DE,2023,997.0,,-202.0,894.0,894.0,113.0,333.0,116.0,,333.0,-383.0,-925.0,,-287.0,-328.0,41.0,-763.0,-765.0,2.0,,,,55.0,,55.0,,-639.0,,-417.0,-417.0,419.0,-836.0,-49.0,0.0,-49.0,-4.0,,625.0,-567.0,-6.0,1198.0,-765.0,0.0,419.0,-836.0,-49.0,232.0
1COV.DE,2024,870.0,,-272.0,984.0,984.0,114.0,83.0,-7.0,,83.0,-219.0,-423.0,,221.0,-81.0,302.0,-705.0,-781.0,76.0,,,,0.0,,0.0,,-565.0,,-414.0,-414.0,1195.0,-1609.0,0.0,,0.0,-1.0,,509.0,-118.0,2.0,625.0,-781.0,,1195.0,-1609.0,0.0,89.0
1COV.DE,2025,-43.0,,-59.0,221.0,221.0,38.0,-242.0,-116.0,,-242.0,-51.0,-150.0,,-5.0,-5.0,0.0,-164.0,-185.0,21.0,,,,6.0,,6.0,,-52.0,,-21.0,-21.0,449.0,-470.0,,,,,,489.0,-245.0,-8.0,742.0,-185.0,,449.0,-470.0,,-228.0
A2A.MI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A.MI,2021,1135.0,,550.0,465.0,666.0,72.0,213.0,225.0,,213.0,-165.0,-1595.0,,,,,-709.0,-714.0,5.0,-360.0,-360.0,,-444.0,-444.0,,-82.0,412.0,,421.0,421.0,1152.0,-731.0,,,,,-7.0,964.0,-48.0,,1012.0,-1074.0,,1152.0,-731.0,,61.0
A2A.MI,2022,1260.0,,448.0,491.0,724.0,90.0,323.0,-512.0,,323.0,-201.0,-1142.0,,,,,-443.0,-856.0,413.0,-384.0,-384.0,,-497.0,-497.0,,180.0,1502.0,,1557.0,1557.0,4339.0,-2782.0,,,,,-55.0,2584.0,1620.0,,964.0,-1240.0,,4339.0,-2782.0,,20.0
A2A.MI,2023,1040.0,,683.0,523.0,801.0,139.0,-228.0,-82.0,,-228.0,-317.0,-1359.0,,,,,-899.0,-947.0,48.0,-429.0,-429.0,,-45.0,-45.0,,8.0,-636.0,,-562.0,-562.0,943.0,-1505.0,,,,,-38.0,1629.0,-955.0,,2584.0,-1376.0,,943.0,-1505.0,,-336.0
