Ticker,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherWorkingCapital,ChangesInAccountReceivables,ChangeInAccountPayable,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,CapitalExpenditure,PurchaseOfPropertyPlantAndEquipment,SaleOfPropertyPlantAndEquipment,PurchaseOfIntangibleAssets,SaleOfIntangibleAssets,PurchaseOfInvestment,SaleOfInvestment,PurchaseOfBusiness,SaleOfBusiness,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,NetBusinessPurchaseAndSale,NetOtherInvestingChanges,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,IssuanceOfCapitalStock,CommonStockIssuance,RepurchaseOfCapitalStock,CashDividendsPaid,IssuanceOfDebt,RepaymentOfDebt,IssuanceOfLongTermDebt,RepaymentOfLongTermDebt,NetBorrowings,NetOtherFinancingCharges,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,EffectOfExchangeRateChanges,ChangeInCashSupplementalAsReported,BeginningCashPosition,EndCashPosition,FreeCashFlow
ACS.MC,866.2,408.1,596.06,,,,,,2792.87,,-660.85,,,,,-35.6,548.92,-1223.72,15.53,,513.32,-553.71,-1208.19,-6.4,-1248.58,,1.76,1.76,-625.35,-368.13,5512.9,-4350.25,,,,1789.3,496.66,,285.42,,9087.29,11413.66,2132.02
ACX.MC,159.91,12.6,106.6,,,,,,293.67,,-204.78,,,,,-0.59,0.38,-709.29,,-2.46,-0.21,-201.73,-709.29,16.78,-896.46,,,,-1.01,-154.54,1009.7,-809.65,,,,-74.9,-36.03,,107.94,,1793.68,1262.81,88.89
AMS.MC,700.2,,70.7,,,,-20.3,1.2,2146,,-788.1,,,,,-84.8,27,-372.7,0.2,-715.4,-57.8,-72.7,-372.5,17.8,-1146.4,,,,-362.4,-541.9,1001,-940.1,,,,-0.1,-990.1,,2.2,,1037.2,1048.9,1357.9
ANA.MC,1139,233,522,,,,,,2239,,-2731,,,,,,,,304,,,-2647,304,-122,-2465,,,,-46,-333,5693,-3942,,,,-456,760,,-8,,3714,4240,-492
ANE.MC,425,114,147,,,,157,,681,,-1630,,,,,,,-89,266,,,-1628,177,,-1451,,,,,-188,1275,-779,,,,227,522,,7,,736,495,-949
BBVA.MC,1533,13284,-37951,-36203,,,-2140,392,-18190,-18190,-2011,,,,,-1,32,-28,73,-816,31,-1091,45,408,-1423,-1423,691,691,-1529,-3913,5514,-2599,,,,-731,-2567,-2568,-2091,,75416,51145,-20201
BKT.MC,87.45,976.42,364.24,,,,13.68,-85.83,1941.44,,-151.1,,,,,,,0,0,-89.24,,-45.66,0,,-120.8,,78.6,78.6,-78.68,-462.35,200,0,,,,0,-262.44,,0,,613859.59,615417.81,1790.34
CABK.MC,778,1986,9734,,,,269,3554,16846,,-755,,,,,,,0,89,-433,,-234,89,,-152,,23,23,-1292,-3947,1750,-2000,,,,714,-4752,,1,,37861,49804,16091
CLNX.MC,2608.34,918.35,55.51,,,,48.77,,2306.57,,-2030.34,,,,,-34.46,0,-10.69,,,-34.46,-2030.34,-10.69,898.8,-1176.68,,40.1,40.1,,-44.28,1219.95,-1801.41,,,,-27.33,-1294.3,,-45.26,,1292.44,1082.77,276.24
COL.MC,7.33,41.07,62.26,,,,1.23,,362.41,,-4.24,,,,,-2.68,0.38,,0.24,-3.28,-2.3,-0.96,0.24,-6.27,-4.59,,345.41,345.41,-26.12,-180,130,-399.57,,,,-4.71,-252.89,,,,437.79,542.72,358.17
AENA.MC,847.81,-40.3,-52.01,,,,,,2746.94,,-825.18,,,,,-51.4,39.36,,,,-12.04,-796.53,,,-804.35,,2.11,2.11,,-1182.87,,,,,,-1248.39,-2429.15,,-55.28,,2363.12,1821.28,1921.76
ELE.MC,1903,811,-733,,,,-6,,3567,,-1846,,,,,-620,908,0,0,,288,-1816,0,195,-1333,,849,849,-14,-1058,818,-40,,,,-3263,-3500,,0,,2106,840,1721
ENG.MC,287.11,608.2,-73.71,,,,,,454.99,,-97.89,,,,,-15.88,0,-26.28,910.03,,-15.88,-97.89,883.75,160.99,930.98,,0,0,-6.21,-378.89,611.62,-1143.24,,,,-45.85,-962.57,,33.78,,838.48,1295.67,357.1
FDR.MC,160.91,68.3,39.12,,,,,,310.6,,-73.11,,,,,-14.18,16.2,-5.69,,-33.64,2.02,-37.11,-5.69,,-74.29,,109.22,109.22,-108.87,-107.72,,-39.33,,,,0.01,-190.59,,3.61,,112.88,162.21,237.49
FER.MC,441,-37,-220,,,,,,1293,1293,-226,,,,,,,-1286,2582,,,-226,1296,257,1313,1313,,,-973,-130,150,-761,,,,-413,-2591,-2591,59,,4789,4828,1067
GRF.MC,437.9,696.31,22.38,,,,9.64,,902.17,902.17,-371.37,,,,,-43.85,0,-285.87,,-138.83,-43.85,-209.04,-285.87,1564.26,886.67,886.67,,,0,-0.96,,-111.49,,,,-1246.26,-1358.71,-1358.71,20.08,,529.58,979.78,530.8
IAG.MC,2364,169,-82,,,,336,,6372,,-2816,,,,,-215,0,-50,,,-215,-2232,-50,-5,-2502,,,,-202,-149,1474,-410,,,,-151,-1175,,53,,5441,8189,3556
IBE.MC,7412,1252,-1118,,,,,,11925,,-8375,,,,,-1677,460,-3366,5680,-710,-1217,-7665,2314,-626,-8397,,79,79,-2076,-1166,19041,-13118,,,,-2469,-2267,,-198,,3019,4082,3550
IDR.MC,106.95,21.08,-5.45,,,,,,450.89,,-111,,,,,-92.14,60.72,-92.14,,-87.44,-31.42,-23.3,-92.14,41.36,-81.91,,121.36,121.36,-150.12,-44.1,,-185.81,,,,-27.7,-333.72,,-15.02,,595.74,555.15,339.89
ITX.MC,2997,334,-198,,,,,,9288,,-2672,,,,,-709,55,-14,,-465,-654,-2207,-14,52,-3288,,,,,-4797,,0,,,,-1810.06,-6607,,-18,,7007,6382,6616
LOG.MC,165.47,-92.92,-75.81,,,,,-50.22,397.31,,-47.09,,,,,,,-19.98,0,-8.41,,-22.68,-19.98,,-51.08,,,,-2.78,-253.38,,,,,,-53.9,-370.02,,,,192.96,169.17,350.22
MAP.MC,,,,,,,,,,,-287.4,,,,,-15308.1,13631.1,-1748.2,1906.4,-227.3,-1677,-57.7,158.2,-79,-746.9,,9.7,9.7,0,-1098.9,0,0,,,,93,-1087.7,,-3.7,,2086,1746.7,1211.6
MRL.MC,4.35,92.55,31.82,,,,4.13,,316.78,,-19.48,,,,,,,-53.47,,-0.71,,-18.77,-53.47,,-294.38,,899.54,899.54,,-105.17,390.9,-13.64,,,,-102.58,1069.05,,,,461.22,1552.68,297.3
MTS.MC,2632,-335,-185,-287,-192,56,,,4852,4852,-4405,,,,,,,-1352,0,,216,-3837,-1352,-14,-4987,-4987,,,-1300,-393,2484,-1456,,,,-15,-680,-680,-471,,7686,6400,447
NTGY.MC,10,-1342,17,,,,0,,1219,,-4,,,,,-1,10,-1005,225,0,9,-4,-780,,-775,,5,5,-10,-1454,2321,-2689,,,,,-1827,,,,2981,1598,1215
PUIG.MC,210.5,26.11,41.23,,,,,,739.69,,-190.92,,,,,,,-1076.76,,,18.03,-190.78,-1076.76,,-1240.55,,1377.09,1377.09,-0.36,-192.52,658.57,-1224.87,,,,,538.35,,-7.74,,852.9,882.65,548.77
RED.MC,461.69,41.49,-231.74,,,,,,955.63,,-1078.63,,,,,-1669.81,1522.35,-1.84,,,-147.46,-1078.63,-1.84,280.56,-947.38,,7.28,7.28,,-572.47,,,,,,889.66,324.46,,1.4,,555.53,889.64,-123
REP.MC,2932,49,-8,,,,,,4965,,-4725,,,,,-2296,4347,-997,208,,2051,-4227,-789,271,-2694,,285,285,-1135,-1153,,,,,,1100,-1641,,-1,,4129,4758,240
ROVI.MC,28.02,0.89,8.96,,,,0.04,,138.28,,-62.22,,,,,,0.08,-19.09,0,-3.1,0.08,-59.08,-19.09,,-81.06,,41.92,41.92,-89.71,-56.45,96.95,-51.71,,,,5.41,-55.36,,,,25.32,27.19,76.06
SAB.MC,501.04,1271.13,-14295.8,,,,392.89,-770.11,-11071.46,,-547.09,,,,,,,-1.69,102.2,-346.19,,-81.17,100.5,,-245.92,,35.42,35.42,-113.78,-591.33,500,0,,,,-212.6,-382.29,,95.93,,29985.85,18382.11,-11618.55
SAN.MC,3294,25067,-60380,-52295,,,-1135,-6950,-24155,-24155,-10598,,,,,-686,681,-71,8,-2104,-5,-2528,-63,988,-3712,-3712,765,765,-4789,-3017,7001,-4096,,,,-1374,-5510,-5510,5243,,220342,192208,-34753
SCYR.MC,162.84,17.42,785.78,,,,,,1293.88,,-332.55,,,,,-590.49,4.29,,,,-586.2,-249.46,,,-746.23,,220.29,220.29,-8.72,-8.04,3679.42,-3453.39,,,,-195.93,-519.72,,-82.81,,1680.37,1620.76,961.34
SLR.MC,43.66,8.53,-20.57,,,,-9.04,,115.32,,-187.38,,,,,,,,,,,-187.38,,,-187.38,,,,,,155.26,-97.81,,,,,49.12,,,,77.29,54.35,-72.07
TEF.MC,,,,,,,,,,,-5790,,,,,-1196,1451,-189,220,,255,-5521,31,12,-5223,-5223,,,,-1757,3547,-4406,,,,-2056,-4672,-4672,-191,,7151,8062,5204
UNI.MC,86.85,440.08,-1381.56,,,,214.79,-512.5,-355.53,,-51.02,,,,,,,-0.77,18.42,-33.21,,120.96,17.66,,234.08,,40.38,40.38,-140.09,-286.16,300,-300,,,,-30.95,-416.81,,0,,8040.03,7501.78,-406.55
AC.PA,341,5,-79,,,,-79,,733,,-293,,,,,,,-282,88,,,-293,-194,1,-358,,3,3,-404,-298,2938,-2475,,,,-3,-400,,-15,,1279,1236,440
AI.PA,2505.1,338.8,148.9,,,,-155.1,,6322.2,,-3525.1,,,,,,,-269,113,,,-3445,-156,,-3583.4,,34.4,34.4,-230.8,-1718.1,,,,,,-33.4,-2807.6,,-32.4,,1403.6,1302.4,2797.1
AIR.PA,2853,98,1337,,,,6146,,7402,,-3669,,,,,-4460,1769,-1117,530,-3571,-2691,,-587,,-6653,,,,,-2215,,,,,,-78,-2570,,358,,16473,15010,3733
MT.AS,2632,-335,-185,-287,-192,56,,,4852,4852,-4405,,,,,,,-1352,0,,216,-3837,-1352,-14,-4987,-4987,,,-1300,-393,2484,-1456,,,,-15,-680,-680,-471,,7686,6400,447
CS.PA,,45,10380,,,,14777,,12467,,-476,,,,,-75938,67391,-53,194,,-8547,-459,141,1456,-11249,,1991,1991,-4745,-4455,776,0,,,,-2,-7335,,280,,24539,18113,11991
BNP.PA,7272,1756,-121525,,,,-121525,,-97376,,-2136,,,,,,,,,,,-2136,1956,,-180,,,,,,,,,,,-6418,-6418,,-393,,282579,178212,-99512
EN.PA,3074,188,776,,,,,,5378,,-2714,,,,,,,-1114,53,,,-2268,-1061,-107,-3483,,,,,-718,,,,,,-548,-2070,,86,,4907,4818,2664
BVI.PA,283.7,,60.8,,,,,,1004.8,,-145.9,,,,,-8.2,8.7,-313.9,105.4,,0.5,-139.8,-208.5,,-347.8,,18.1,18.1,-191.8,-406.9,1000.4,-800.1,,,,-58.3,-610.2,,-12.7,,1170.1,1200.6,858.9
CAP.PA,683,-60,-214,,,,-263,,2526,,-315,,,,,,,-827,,,,-310,-827,-200,-1337,,413,413,-989,-584,847,-1448,,,,207,-2016,,97,,3517,2787,2211
CA.PA,2424,621,798,,,,8,-14,4200,,-1772,,,,,-36,11,-1378,13,,-25,-1173,-1365,191,-2372,,,,,-600,2748,-1271,,,,387,-1076,,-477,,6290,6564,2428
ACA.PA,1245,3727,-47411,,,,-47411,,-15909,,-1070,,,,,,,,,,,-1070,-712,,-1782,,,,,-5141,,,,,,14588,9447,,-1195,,142584,133146,-16979
BN.PA,1168,151,533,,,,137,,3831,,-923,,,,,,,-153,507,,,18,354,1,-463,,76,76,,-1348,1397,-2006,,,,-1015,-3817,,-2,,1099,647,2908
DSY.PA,575.2,-20.9,-137,,,,24.3,141.1,1659.8,,-193.4,,,,,,,-22.5,,,,-193.4,-22.5,24.2,-191.7,,48.4,48.4,-374,-302.7,200.2,-700.9,,,,-3.2,-1211.9,,128.2,,3568.3,3952.6,1466.4
EDEN.PA,245,51,179,,,,179,,1029,,-217,,,,,-6,,-504,,,-6,-217,-504,23,-704,,2,2,-359,-307,505,0,,,,,-39,,-73,,1327,1540,812
ENGI.PA,5991,1111,-227,,,,-3069,,13144,,-9385,,,,,,1725,-736,808,,1725,-9310,72,1,-11338,,,,,-4147,6087,-3707,,,,1088,-1457,,2,,16578,16928,3759
EL.PA,3098,175,-697,,,,-607,,4874,,-1522,,,,,,,-1755,,,-367,-1512,-1755,12,-3622,,35,35,-274,-1163,2383,-1300,,,,-296,-1647,,88,,2558,2251,3352
ERF.PA,596.9,115.7,51.4,,,,-3,9.2,1318.9,,-528.4,,,,,,,-344.3,,-74.8,-3.3,-443.4,-344.3,-0.1,-846.5,,0.2,0.2,-271.9,-95.6,118,-477.7,,,,-53.5,-1089.5,,9.4,,1220.9,613.2,790.5
RMS.PA,844,,-239,,,,,,5139,,,,,,,-1094,145,-229,0,,-949,,-229,-47,-1195,,2,2,-37,-2705,,-1,,,,,-3046,,119,,10625,11642,5139
KER.PA,2113,616,667,,,,,,4709,,-3309,,,,,-83,140,-35,,,57,-3277,-35,,-3185,,,,,-1716,2493,-919,,,,-73,-1896,,31,,3650,3309,1400
OR.PA,1855.3,21.1,-226.6,,,,322.5,,8286,,-1641.7,,,,,,,,,,-1927,-1628.1,-148.9,0.1,-3703.9,,69.9,69.9,-497.5,-3614.9,1529.4,-7.9,,,,-13.9,-4785.1,,-32.8,,4288.1,4052.3,6644.3
LR.PA,379.7,41.8,-75.3,,,,-18.5,,1523.3,,-239.6,,,,,,,-1510.4,,,7.4,6.8,-1510.4,,-1735.8,,0,0,-46.3,-547,801.5,-94.4,,,,-20.3,-535.8,,13.6,,2815.4,2080.7,1283.7
MC.PA,7796,488,-1924,,,,-283,,18925,,-5552,,,,,,,,,-837,-579,-4665,-438,-29,-6539,,53,53,-312,-6492,3595,-3676,,,,-398,-10716,,80,,7520,9269,13373
ML.PA,2085,598,69,,,,-123,,4336,,-2265,,,,,-59,162,-7,5,-243,103,-1904,-2,18,-2111,,37,37,-502,-961,1002,-24,,,,77,-794,,-10,,2515,3936,2071
ORA.PA,7933,1195,-1312,,,,-1413,,10195,,-7028,,,,,-1267,436,-128,6231,,-831,-6758,6103,26,-1460,,,,,-1915,1243,-2441,,,,-165,-5726,,139,,5618,8766,3167
RI.PA,441,432,-768,,,,,,1727,,-773,,,,,-245,334,,,-765,89,,,,-676,,,,,-1208,2815,-1357,,,,,-209,,232,,1609,2683,954
PUB.PA,815,,-161,,,,,,2301,,-238,,,,,,34,-915,0,,34,-235,-915,,-1116,,,,,-853,1,-603,,,,166,-2007,,215,,4249,3642,2063
RNO.PA,3183,-5017,1096,,,,-212,923,7161,,-2962,,,,,-445,1648,-282,,-1288,1203,-1580,-282,-88,-2035,,,,,-536,0,-1578,,,,-850,-3234,,-27,,20677,22542,4199
SAF.PA,1406,-907,7,,,,1459,,4733,,-1544,,,,,-417,113,,,-172,-304,-1044,,,-1848,,0,0,-1320,-911,56,-863,,,,-21,-3073,,26,,6676,6514,3189
SGO.PA,2631,36,-74,,,,-97,,5569,,-2083,,,,,-219,18,-3331,30,,-201,-1925,-3301,163,-5266,,222,222,-811,-1045,3674,-1624,,,,-83,-402,,-58,,8602,8460,3486
SAN.PA,3586,136,-615,-899,-28,789,,,9081,8607,-3195,,,,,,,-2524,0,,,-1734,-2524,-40,-4407,-4298,187,187,-302,-4704,0,-953,,,,-38,-5763,-5751,-13,,8710,7441,5886
SU.PA,1538,200,-728,,,,-134,,5580,,-1419,,,,,,,-535,83,-469,-91,-895,-452,-80,-1987,,,,,-1963,3466,-2722,,,,-183,-1624,,189,,4654,6812,4161
