Ticker,Year,Total Revenue,Net Interest Income,Total Premiums Earned,Total Other Income Expense Net,Interest Expense,Provision for Loan Losses,Selling General Administrative,Other Operating Expenses,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Gross Profit,Operating Expense,Operating Income,Ebit,Extraordinary Items,Effect Of Accounting Charges,Other Items,Income Before Tax,Tax Provision,Net Income Applicable To Common Shares,Net Income,Net Income From Continuing Ops,Discontinued Operations,Normalized Income,Minority Interest,Preferred Dividends,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares
1COV.DE,2021.0,15903000000.0,-65000000.0,,,92000000.0,,,69000000.0,,,,4428000000.0,2174000000.0,2254000000.0,,,,,,566000000.0,,1616000000.0,,,1603403000.0,,,8.37,8.37,193165396.0,193165396.0
1COV.DE,2022.0,17968000000.0,-113000000.0,,,166000000.0,,,102000000.0,,,,2564000000.0,2289000000.0,275000000.0,,,,,,411000000.0,,-272000000.0,,,-265200000.0,,,-1.42,-1.42,190933438.0,190933438.0
1COV.DE,2023.0,14377000000.0,-101000000.0,,,169000000.0,,,141000000.0,,,,2306000000.0,2150000000.0,156000000.0,,,,,,275000000.0,,-198000000.0,,,-223500000.0,,,-1.05,-1.05,189262192.0,189262192.0
1COV.DE,2024.0,14179000000.0,-108000000.0,,,159000000.0,,,57000000.0,,,,2177000000.0,2150000000.0,27000000.0,,,,,,245000000.0,,-266000000.0,,,-317000000.0,,,-1.41,-1.41,188740330.0,188740330.0
A2A.MI,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A.MI,2021.0,11352000000.0,-70000000.0,,,68000000.0,,,403000000.0,,,,2264000000.0,1606000000.0,658000000.0,,,,,,36000000.0,,504000000.0,,,512694915.254237,,,0.1639,0.1639,3073686277.0,3073686277.0
A2A.MI,2022.0,22938000000.0,-88000000.0,,,92000000.0,,,494000000.0,,,,2438000000.0,1781000000.0,657000000.0,,,,,,344000000.0,,401000000.0,,,227760000.0,,,0.1281,0.1281,3132905277.0,3132905277.0
A2A.MI,2023.0,14492000000.0,-130000000.0,,,164000000.0,,,541000000.0,,,,2901000000.0,1867000000.0,1034000000.0,,,,,,199000000.0,,659000000.0,,,679981797.497156,,,0.2101,0.2101,3132905277.0,3132905277.0
A2A.MI,2024.0,12570000000.0,-109000000.0,,,165000000.0,,,542000000.0,,,,3352000000.0,2009000000.0,1343000000.0,,,,,,319000000.0,,864000000.0,,,886834021.46986,,,0.275782,0.275782,3132905277.0,3132905277.0
AAF.L,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF.L,2022.0,4714000000.0,-329000000.0,,,310000000.0,,,208000000.0,,,,3003000000.0,1463000000.0,1540000000.0,,,,,,469000000.0,,631000000.0,,,641489000.0,,,0.168,0.168,3754179962.0,3760109303.0
AAF.L,2023.0,5255000000.0,-385000000.0,,,362000000.0,,,193000000.0,,,,3577000000.0,1806000000.0,1771000000.0,,,,,,284000000.0,,663000000.0,,,918552000.0,,,0.177,0.177,3751665898.0,3756867853.0
AAF.L,2024.0,4979000000.0,-444000000.0,,,435000000.0,,,206000000.0,,,,3495000000.0,1850000000.0,1645000000.0,,,,,,26000000.0,,-165000000.0,,,-1500000.0,,,-0.044,-0.044,3750641207.0,3750641207.0
AAF.L,2025.0,4955000000.0,-643000000.0,,,635000000.0,,,257000000.0,,,,3482000000.0,2018000000.0,1464000000.0,,,,,,333000000.0,,220000000.0,,,246250000.0,,,0.06,0.06,3703072464.0,3707789495.0
AAL.L,2020.0,,,,,,,,,,,,13482000000.0,,,,,,,,,,,,,,,,1.69,1.67,1239000000.0,1253000000.0
AAL.L,2021.0,41554000000.0,-412000000.0,,,434000000.0,,,2167000000.0,,,,25661000000.0,8423000000.0,17238000000.0,,,,,,5930000000.0,,8562000000.0,,,8469756480.798684,,,6.93,6.84,1236000000.0,1251000000.0
AAL.L,2022.0,35118000000.0,-301000000.0,,,516000000.0,,,2456000000.0,,,,19592000000.0,8671000000.0,10921000000.0,,,,,,3456000000.0,,4514000000.0,,,5708632911.392405,,,3.72,3.68,1215000000.0,1226000000.0
AAL.L,2023.0,30652000000.0,-563000000.0,,,990000000.0,,,24100000000.0,,,,15044000000.0,24100000000.0,6552000000.0,,,,,,2251000000.0,,283000000.0,,,2487010000.0,,,0.23,0.23,1214000000.0,1220000000.0
AAL.L,2024.0,27290000000.0,-746000000.0,,,1172000000.0,,,22342000000.0,,,,,22342000000.0,4948000000.0,,,,,,1864000000.0,,-3068000000.0,,,920500000.0,,,,,,
ABB.ST,2020.0,,,,,,,,-151000000.0,,,,,,,,,,,,,,,,,,,,,,,
ABB.ST,2021.0,28945000000.0,-97000000.0,,,148000000.0,,,-262000000.0,,,,9467000000.0,6381000000.0,3086000000.0,,,,,,1057000000.0,,4546000000.0,,,2781214000.0,,,2.27,2.25,2001000000.0,2019000000.0
ABB.ST,2022.0,29446000000.0,-58000000.0,,,130000000.0,,,-278000000.0,,,,9710000000.0,6298000000.0,3412000000.0,,,,,,757000000.0,,2475000000.0,,,2846671000.0,,,1.3,1.3,1899000000.0,1910000000.0
ABB.ST,2023.0,32235000000.0,-110000000.0,,,275000000.0,,,,,,,11214000000.0,6860000000.0,4354000000.0,,,,,,930000000.0,,3745000000.0,,,3647445000.0,,,2.02,2.01,1855000000.0,1867000000.0
ABB.ST,2024.0,32850000000.0,107000000.0,,,99000000.0,,,,,,,12274000000.0,7177000000.0,5097000000.0,,,,,,1278000000.0,,3935000000.0,,,3984116000.0,,,2.13,2.13,1844000000.0,1851000000.0
ABBN.SW,2020.0,,,,,,,,-151000000.0,,,,,,,,,,,,,,,,,,,,,,,
ABBN.SW,2021.0,28945000000.0,-97000000.0,,,148000000.0,,,-262000000.0,,,,9467000000.0,6381000000.0,3086000000.0,,,,,,1057000000.0,,4546000000.0,,,2781214000.0,,,2.27,2.25,2001000000.0,2019000000.0
ABBN.SW,2022.0,29446000000.0,-58000000.0,,,130000000.0,,,-278000000.0,,,,9710000000.0,6298000000.0,3412000000.0,,,,,,757000000.0,,2475000000.0,,,2846671000.0,,,1.3,1.3,1899000000.0,1910000000.0
ABBN.SW,2023.0,32235000000.0,-110000000.0,,,275000000.0,,,,,,,11214000000.0,6860000000.0,4354000000.0,,,,,,930000000.0,,3745000000.0,,,3647445000.0,,,2.02,2.01,1855000000.0,1867000000.0
ABBN.SW,2024.0,32850000000.0,107000000.0,,,99000000.0,,,,,,,12274000000.0,7177000000.0,5097000000.0,,,,,,1278000000.0,,3935000000.0,,,3984116000.0,,,2.13,2.13,1844000000.0,1851000000.0
ABF.L,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF.L,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABF.L,2022.0,16997000000.0,-83000000.0,,,184000000.0,,,,,,,3778000000.0,2510000000.0,1268000000.0,,,,,,356000000.0,,700000000.0,,,848550185.873606,,,0.886,0.886,789000000.0,789000000.0
ABF.L,2023.0,19750000000.0,-20000000.0,,,250000000.0,,,,,,,4163000000.0,2823000000.0,1340000000.0,,,,,,272000000.0,,1044000000.0,,,1110949253.731343,,,1.342,1.341902,778000000.0,778000000.0
ABF.L,2024.0,20073000000.0,9000000.0,,,266000000.0,,,,,,,4882000000.0,3048000000.0,1834000000.0,,,,,,437000000.0,,1455000000.0,,,1449595722.483046,,,1.937,1.937,751000000.0,751000000.0
ABN.AS,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABN.AS,2021.0,7340000000.0,5210000000.0,,,1808000000.0,,,-89000000.0,,,,,5568000000.0,,,,,,,604000000.0,,1231000000.0,,,1234355000.0,,,1.21,1.21,940000000.0,940000000.0
ABN.AS,2022.0,7640000000.0,5422000000.0,,,2512000000.0,,,-85000000.0,,,,,5374000000.0,,,,,,,509000000.0,,1867000000.0,,,1835560000.0,,,1.96,1.955947,908000000.0,908000000.0
ABN.AS,2023.0,8586000000.0,6279000000.0,,,9904000000.0,,,-8000000.0,,,,,5156000000.0,,,,,,,847000000.0,,2697000000.0,,,2843729000.0,,,2.99,2.987385,872000000.0,872000000.0
ABN.AS,2024.0,8896000000.0,6505000000.0,,,10604000000.0,,,-58000000.0,,,,,5373000000.0,,,,,,,1013000000.0,,2403000000.0,,,2497336000.0,,,2.72,2.714625,841000000.0,841000000.0
AC.PA,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
