ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
AIR.PA,2024-12-31 00:00:00,69230000000.0,58555000000.0,10675000000.0,,,5871000000.0,,4804000000.0,,,900000000.0,,1347000000.0,,,,,,,4232000000.0,,5.36,5.35,789961671.0,790991077.0,4374880000.0,,,,,39000000.0,,
VIV.PA,2024-12-31 00:00:00,297000000.0,211000000.0,86000000.0,,,222000000.0,,-136000000.0,,,89000000.0,,3000000.0,,,,,,,-6004000000.0,,,,,,-171250000.0,,,,,18000000.0,,
STM.PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIE.PA,2024-12-31 00:00:00,44692000000.0,36924000000.0,7768000000.0,,,4516000000.0,,3252000000.0,,,910000000.0,,566000000.0,,,,,,,1098000000.0,,,,,,1343230000.0,,,,,-989000000.0,,
SAF.PA,2024-12-31 00:00:00,27716000000.0,14445000000.0,13271000000.0,,,9281000000.0,334000000.0,3990000000.0,,,129000000.0,,-284000000.0,,,,,,,-667000000.0,,-1.6,-1.6,416149530.0,420722353.0,2426297400.0,,,,,99000000.0,,
BVI.PA,2024-12-31 00:00:00,6240900000.0,1739800000.0,4501100000.0,,,3567700000.0,19100000.0,933400000.0,,,101100000.0,,273800000.0,,,,,,,569400000.0,,,,,,569400000.0,,,,,-75500000.0,,
EDEN.PA,2024-12-31 00:00:00,2856000000.0,1144000000.0,1712000000.0,,,783000000.0,558000000.0,929000000.0,,,,,254000000.0,,,,,,,507000000.0,,2.07,2.01,245286351.0,252646478.0,569062000.0,,,,,-32000000.0,,
INGA.AS,2024-12-31 00:00:00,22527000000.0,,,,,,,,,,43882000000.0,,2650000000.0,,,,,,,6392000000.0,,1.98,1.98,3228700000.0,3228700000.0,6653690000.0,,,,,15023000000.0,,
ASMI.AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAND.AS,2024-12-31 00:00:00,24122000000.0,19421000000.0,4701000000.0,,,4204000000.0,39000000.0,497000000.0,,,91000000.0,,67000000.0,,,,,,,123000000.0,,0.65,0.65,176100000.0,177100000.0,385264000.0,,,,,-89000000.0,,
AD.AS,2024-12-31 00:00:00,89357000000.0,65551000000.0,23805000000.0,,,21453000000.0,,2352000000.0,,,782000000.0,,481000000.0,,,,,,,1764000000.0,,1.9,1.89,930000000.0,933000000.0,1764783000.0,,,,,-561000000.0,,
