ticker_market,market,name,country,ticket
BASFN.DE,DE,BASF,germany,BASFn
BAYGN.DE,DE,Bayer,germany,BAYGn
ALVG.DE,DE,Allianz,germany,ALVG
ADSGN.DE,DE,Adidas,germany,ADSGn
LHAG.DE,DE,Lufthansa,germany,LHAG
SIEGN.DE,DE,Siemens AG,germany,SIEGn
VOWG.DE,DE,Volkswagen ST,germany,VOWG
DBKGN.DE,DE,Deutsche Bank AG,germany,DBKGn
CONG.DE,DE,Continental AG,germany,CONG
DPWGN.DE,DE,Deutsche Post,germany,DPWGn
DAIGN.DE,DE,Daimler,germany,DAIGn
PSHG_P.DE,DE,Porsche,germany,PSHG_p
HNKG_P.DE,DE,Henkel VZO,germany,HNKG_p
CBKG.DE,DE,Commerzbank,germany,CBKG
DB1GN.DE,DE,Deutsche Boerse,germany,DB1Gn
BMWG.DE,DE,BMW ST,germany,BMWG
FMEG.DE,DE,Fresenius ST,germany,FMEG
DTEGN.DE,DE,Deutsche Telekom AG,germany,DTEGn
MANG.DE,DE,Man SE,germany,MANG
MRCG.DE,DE,Merck,germany,MRCG
IFXGN.DE,DE,Infineon,germany,IFXGn
CECG.DE,DE,Ceconomy,germany,CECG
MUVGN.DE,DE,Muench. Rueckvers.,germany,MUVGn
SAPG.DE,DE,SAP,germany,SAPG
TKAG.DE,DE,Thyssenkrupp AG,germany,TKAG
RHMG.DE,DE,Rheinmetall AG,germany,RHMG
TUIGN.DE,DE,Tui,germany,TUIGn
WDIG.DE,DE,Wirecard AG,germany,WDIG
LXSG.DE,DE,Lanxess AG,germany,LXSG
BEIG.DE,DE,Beiersdorf AG,germany,BEIG
FREG.DE,DE,Fresenius SE,germany,FREG
FNTGN.DE,DE,Freenet AG,germany,FNTGn
SZGG.DE,DE,Salzgitter AG,germany,SZGG
A3B.DE,DE,Acco Brands,germany,A3B
FRAG.DE,DE,Fraport AG,germany,FRAG
WCHG.DE,DE,Wacker Chemie,germany,WCHG
QSCG.DE,DE,QSC AG,germany,QSCG
ZILGN.DE,DE,Elringklinger AG,germany,ZILGn
VOSG.DE,DE,Vossloh AG,germany,VOSG
KRNG.DE,DE,Krones AG,germany,KRNG
G1AG.DE,DE,GEA Group AG,germany,G1AG
HNRGN.DE,DE,Hannover Rueckversicherung SE,germany,HNRGn
GBFG.DE,DE,Bilfinger SE,germany,GBFG
DRWG_P.DE,DE,Draegerwerk VZO,germany,DRWG_p
SOWGN.DE,DE,Software AG,germany,SOWGn
KCOGN.DE,DE,Kloeckner SE,germany,KCOGn
HOTG.DE,DE,Hochtief AG,germany,HOTG
RWEG.DE,DE,RWE AG ST,germany,RWEG
DEQGN.DE,DE,Deutsche Euroshop AG,germany,DEQGn
NDXG.DE,DE,Nordex SE,germany,NDXG
NAFG.DE,DE,Aurubis AG,germany,NAFG
A6W.DE,DE,Alexandria RE,germany,A6W
AIXGN.DE,DE,Aixtron,germany,AIXGn
RHKG.DE,DE,Rhoen-Klinikum,germany,RHKG
GILG.DE,DE,DMG Mori Seiki,germany,GILG
ABM.DE,DE,ABM Industries,germany,ABM
SGCG.DE,DE,SGL Carbon SE,germany,SGCG
SDFGN.DE,DE,K+S AG,germany,SDFGn
MTXGN.DE,DE,MTU Aero,germany,MTXGn
SZUG.DE,DE,Suedzucker,germany,SZUG
HDDG.DE,DE,Heidelberger Druckmaschinen,germany,HDDG
ARLG.DE,DE,Aareal Bank AG,germany,ARLG
B5AG.DE,DE,Bauer AG,germany,B5AG
DEZG.DE,DE,Deutz AG,germany,DEZG
SY1G.DE,DE,Symrise AG,germany,SY1G
CTNGK.DE,DE,Centrotherm,germany,CTNGk
PV.DE,DE,Pfeiffer,germany,PV
SNGGK.DE,DE,Singulus Tech,germany,SNGGk
HEIG.DE,DE,Heidelbergcement,germany,HEIG
AD8.DE,DE,Arcos Dorados,germany,AD8
QIA.DE,DE,Qiagen,germany,QIA
ADC.DE,DE,Agree,germany,ADC
UTDI.DE,DE,United Internet AG,germany,UTDI
LEOGN.DE,DE,Leoni AG,germany,LEOGn
GGS.DE,DE,Gigaset AG,germany,GGS
AEL.DE,DE,American Equity Inv. Life,germany,AEL
AF4.DE,DE,The Hanover Insurance,germany,AF4
MORG.DE,DE,Morphosys AG,germany,MORG
M5ZG.DE,DE,Manz AG,germany,M5ZG
MDNG.DE,DE,Medion AG,germany,MDNG
