ticker_market,market,name,country,ticket,index
ACS.MC,BME (Bolsa de Madrid),"ACS, Actividades de Construcción y Servicios, S.A.",Spain,ACS,IBEX 35
ACX.MC,BME (Bolsa de Madrid),"Acerinox, S.A.",Spain,ACX,IBEX 35
AMS.MC,BME (Bolsa de Madrid),"Amadeus IT Group, S.A.",Spain,AMS,IBEX 35
ANA.MC,BME (Bolsa de Madrid),"Acciona, S.A.",Spain,ANA,IBEX 35
ANE.MC,BME (Bolsa de Madrid),"Acciona Energía, S.A.",Spain,ANE,IBEX 35
BBVA.MC,BME (Bolsa de Madrid),"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,BBVA,IBEX 35
BKT.MC,BME (Bolsa de Madrid),"Bankinter, S.A.",Spain,BKT,IBEX 35
CABK.MC,BME (Bolsa de Madrid),"CaixaBank, S.A.",Spain,CABK,IBEX 35
CLNX.MC,BME (Bolsa de Madrid),"Cellnex Telecom, S.A.",Spain,CLNX,IBEX 35
COL.MC,BME (Bolsa de Madrid),"Inmobiliaria Colonial, SOCIMI, S.A.",Spain,COL,IBEX 35
AENA.MC,BME (Bolsa de Madrid),"Aena S.M.E., S.A.",Spain,AENA,IBEX 35
ELE.MC,BME (Bolsa de Madrid),"Endesa, S.A.",Spain,ELE,IBEX 35
ENG.MC,BME (Bolsa de Madrid),"Enagás, S.A.",Spain,ENG,IBEX 35
FDR.MC,BME (Bolsa de Madrid),"Fluidra, S.A.",Spain,FDR,IBEX 35
FER.MC,BME (Bolsa de Madrid),Ferrovial SE,Spain,FER,IBEX 35
GRF.MC,BME (Bolsa de Madrid),"Grifols, S.A.",Spain,GRF,IBEX 35
IAG.MC,BME (Bolsa de Madrid),"International Consolidated Airlines Group, S.A.",Spain,IAG,IBEX 35
IBE.MC,BME (Bolsa de Madrid),"Iberdrola, S.A.",Spain,IBE,IBEX 35
IDR.MC,BME (Bolsa de Madrid),"Indra Sistemas, S.A.",Spain,IDR,IBEX 35
ITX.MC,BME (Bolsa de Madrid),"Industria de Diseño Textil, S.A. (Inditex)",Spain,ITX,IBEX 35
LOG.MC,BME (Bolsa de Madrid),"Compañía de Distribución Integral Logista Holdings, S.A.",Spain,LOG,IBEX 35
MAP.MC,BME (Bolsa de Madrid),"Mapfre, S.A.",Spain,MAP,IBEX 35
MRL.MC,BME (Bolsa de Madrid),"MERLIN Properties SOCIMI, S.A.",Spain,MRL,IBEX 35
MTS.MC,BME (Bolsa de Madrid),ArcelorMittal S.A.,Spain,MTS,IBEX 35
NTGY.MC,BME (Bolsa de Madrid),"Naturgy Energy Group, S.A.",Spain,NTGY,IBEX 35
PUIG.MC,BME (Bolsa de Madrid),"Puig Brands, S.A.",Spain,PUIG,IBEX 35
RED.MC,BME (Bolsa de Madrid),"Redeia Corporación, S.A.",Spain,RED,IBEX 35
REP.MC,BME (Bolsa de Madrid),"Repsol, S.A.",Spain,REP,IBEX 35
ROVI.MC,BME (Bolsa de Madrid),"Laboratorios Farmacéuticos Rovi, S.A.",Spain,ROVI,IBEX 35
SAB.MC,BME (Bolsa de Madrid),"Banco de Sabadell, S.A.",Spain,SAB,IBEX 35
SAN.MC,BME (Bolsa de Madrid),"Banco Santander, S.A.",Spain,SAN,IBEX 35
SCYR.MC,BME (Bolsa de Madrid),"Sacyr, S.A.",Spain,SCYR,IBEX 35
SLR.MC,BME (Bolsa de Madrid),"Solaria Energía y Medio Ambiente, S.A.",Spain,SLR,IBEX 35
TEF.MC,BME (Bolsa de Madrid),"Telefónica, S.A.",Spain,TEF,IBEX 35
UNI.MC,BME (Bolsa de Madrid),"Unicaja Banco, S.A.",Spain,UNI,IBEX 35
AC.PA,Euronext Paris (XPAR),Accor,France,AC,CAC 40
AI.PA,Euronext Paris (XPAR),Air Liquide,France,AI,CAC 40
AIR.PA,Euronext Paris (XPAR),Airbus SE,France,AIR,CAC 40
MT.AS,Euronext Amsterdam (XAMS),ArcelorMittal S.A.,Netherlands,MT,CAC 40
CS.PA,Euronext Paris (XPAR),AXA S.A.,France,CS,CAC 40
BNP.PA,Euronext Paris (XPAR),BNP Paribas S.A.,France,BNP,CAC 40
EN.PA,Euronext Paris (XPAR),Bouygues S.A.,France,EN,CAC 40
BVI.PA,Euronext Paris (XPAR),Bureau Veritas S.A.,France,BVI,CAC 40
CAP.PA,Euronext Paris (XPAR),Capgemini SE,France,CAP,CAC 40
CA.PA,Euronext Paris (XPAR),Carrefour S.A.,France,CA,CAC 40
ACA.PA,Euronext Paris (XPAR),Crédit Agricole S.A.,France,ACA,CAC 40
BN.PA,Euronext Paris (XPAR),Danone S.A.,France,BN,CAC 40
DSY.PA,Euronext Paris (XPAR),Dassault Systèmes SE,France,DSY,CAC 40
EDEN.PA,Euronext Paris (XPAR),Edenred SE,France,EDEN,CAC 40
ENGI.PA,Euronext Paris (XPAR),Engie SA,France,ENGI,CAC 40
EL.PA,Euronext Paris (XPAR),EssilorLuxottica SA,France,EL,CAC 40
ERF.PA,Euronext Paris (XPAR),Eurofins Scientific SE,France,ERF,CAC 40
RMS.PA,Euronext Paris (XPAR),Hermès International SCA,France,RMS,CAC 40
KER.PA,Euronext Paris (XPAR),Kering SA,France,KER,CAC 40
OR.PA,Euronext Paris (XPAR),L'Oréal SA,France,OR,CAC 40
LR.PA,Euronext Paris (XPAR),Legrand SA,France,LR,CAC 40
MC.PA,Euronext Paris (XPAR),LVMH Moët Hennessy Louis Vuitton SE,France,MC,CAC 40
ML.PA,Euronext Paris (XPAR),Michelin (Compagnie Générale des Établissements Michelin) SCA,France,ML,CAC 40
ORA.PA,Euronext Paris (XPAR),Orange S.A.,France,ORA,CAC 40
RI.PA,Euronext Paris (XPAR),Pernod Ricard SA,France,RI,CAC 40
PUB.PA,Euronext Paris (XPAR),Publicis Groupe SA,France,PUB,CAC 40
RNO.PA,Euronext Paris (XPAR),Renault S.A.,France,RNO,CAC 40
SAF.PA,Euronext Paris (XPAR),Safran S.A.,France,SAF,CAC 40
SGO.PA,Euronext Paris (XPAR),Compagnie de Saint-Gobain S.A.,France,SGO,CAC 40
SAN.PA,Euronext Paris (XPAR),Sanofi S.A.,France,SAN,CAC 40
SU.PA,Euronext Paris (XPAR),Schneider Electric SE,France,SU,CAC 40
GLE.PA,Euronext Paris (XPAR),Société Générale S.A.,France,GLE,CAC 40
STLAP.PA,Euronext Paris (XPAR),Stellantis N.V.,France,STLAP,CAC 40
STMPA.PA,Euronext Paris (XPAR),STMicroelectronics N.V.,France,STMPA,CAC 40
TEP.PA,Euronext Paris (XPAR),Teleperformance SE,France,TEP,CAC 40
HO.PA,Euronext Paris (XPAR),Thales Group,France,HO,CAC 40
TTE.PA,Euronext Paris (XPAR),TotalEnergies SE,France,TTE,CAC 40
URW.PA,Euronext Paris (XPAR),Unibail-Rodamco-Westfield SE,France,URW,CAC 40
VIE.PA,Euronext Paris (XPAR),Veolia Environnement S.A.,France,VIE,CAC 40
DG.PA,Euronext Paris (XPAR),Vinci SA,France,DG,CAC 40
ADS.DE,Xetra (Frankfurt),adidas AG,Germany,ADS,DAX
AIR.DE,Xetra (Frankfurt),Airbus SE,Germany,AIR,DAX
ALV.DE,Xetra (Frankfurt),Allianz SE,Germany,ALV,DAX
BAS.DE,Xetra (Frankfurt),BASF SE,Germany,BAS,DAX
BAYN.DE,Xetra (Frankfurt),Bayer AG,Germany,BAYN,DAX
BEI.DE,Xetra (Frankfurt),Beiersdorf AG,Germany,BEI,DAX
BMW.DE,Xetra (Frankfurt),Bayerische Motoren Werke AG,Germany,BMW,DAX
BNR.DE,Xetra (Frankfurt),Brenntag SE,Germany,BNR,DAX
CBK.DE,Xetra (Frankfurt),Commerzbank AG,Germany,CBK,DAX
CON.DE,Xetra (Frankfurt),Continental AG,Germany,CON,DAX
1COV.DE,Xetra (Frankfurt),Covestro AG,Germany,1COV,DAX
DTG.DE,Xetra (Frankfurt),Daimler Truck Holding AG,Germany,DTG,DAX
DBK.DE,Xetra (Frankfurt),Deutsche Bank AG,Germany,DBK,DAX
DB1.DE,Xetra (Frankfurt),Deutsche Börse AG,Germany,DB1,DAX
DPW.DE,Xetra (Frankfurt),DHL Group (Deutsche Post AG),Germany,DPW,DAX
DTE.DE,Xetra (Frankfurt),Deutsche Telekom AG,Germany,DTE,DAX
EOAN.DE,Xetra (Frankfurt),E.ON SE,Germany,EOAN,DAX
FRE.DE,Xetra (Frankfurt),Fresenius SE & Co. KGaA,Germany,FRE,DAX
FME.DE,Xetra (Frankfurt),Fresenius Medical Care AG & Co. KGaA,Germany,FME,DAX
HNR1.DE,Xetra (Frankfurt),Hannover Rück SE,Germany,HNR1,DAX
HEI.DE,Xetra (Frankfurt),Heidelberg Materials AG,Germany,HEI,DAX
HEN3.DE,Xetra (Frankfurt),Henkel AG & Co. KGaA (Pref),Germany,HEN3,DAX
IFX.DE,Xetra (Frankfurt),Infineon Technologies AG,Germany,IFX,DAX
MBG.DE,Xetra (Frankfurt),Mercedes‑Benz Group AG,Germany,MBG,DAX
MRK.DE,Xetra (Frankfurt),Merck KGaA,Germany,MRK,DAX
MTX.DE,Xetra (Frankfurt),MTU Aero Engines AG,Germany,MTX,DAX
MUV2.DE,Xetra (Frankfurt),Münchener Rückversicherungs‑Gesellschaft AG,Germany,MUV2,DAX
PAH3.DE,Xetra (Frankfurt),Porsche Automobil Holding SE (Pref),Germany,PAH3,DAX
P911.DE,Xetra (Frankfurt),Porsche AG,Germany,P911,DAX
QIA.DE,Xetra (Frankfurt),QIAGEN N.V.,Germany,QIA,DAX
RHM.DE,Xetra (Frankfurt),Rheinmetall AG,Germany,RHM,DAX
RWE.DE,Xetra (Frankfurt),RWE AG,Germany,RWE,DAX
SAP.DE,Xetra (Frankfurt),SAP SE,Germany,SAP,DAX
SRT3.DE,Xetra (Frankfurt),Sartorius AG (Pref),Germany,SRT3,DAX
SIE.DE,Xetra (Frankfurt),Siemens AG,Germany,SIE,DAX
ENR.DE,Xetra (Frankfurt),Siemens Energy AG,Germany,ENR,DAX
SHL.DE,Xetra (Frankfurt),Siemens Healthineers AG,Germany,SHL,DAX
SY1.DE,Xetra (Frankfurt),Symrise AG,Germany,SY1,DAX
VOW3.DE,Xetra (Frankfurt),Volkswagen AG (Pref),Germany,VOW3,DAX
VNA.DE,Xetra (Frankfurt),Vonovia SE,Germany,VNA,DAX
ZAL.DE,Xetra (Frankfurt),Zalando SE,Germany,ZAL,DAX
