ticker,year,market,name,country,ticket,index
ADS.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS.DE,DAX
ALV.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV.DE,DAX
BAS.DE,2020,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS.DE,DAX
BAYN.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN.DE,DAX
BEI.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Germany,BEI.DE,DAX
BMW.DE,2020,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW.DE,DAX
CON.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON.DE,DAX
1COV.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV.DE,DAX
DAI.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Mercedes-Benz Group,Germany,DAI.DE,DAX
DBK.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK.DE,DAX
DB1.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1.DE,DAX
LHA.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Deutsche Lufthansa,Germany,LHA.DE,DAX
DPW.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DPW.DE,DAX
DTE.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE.DE,DAX
EOAN.DE,2020,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN.DE,DAX
FRE.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE.DE,DAX
FME.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME.DE,DAX
HEI.DE,2020,Bolsa de Fráncfort (Xetra-DAX),HeidelbergCement,Germany,HEI.DE,DAX
HEN3.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3.DE,DAX
IFX.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Infineon,Germany,IFX.DE,DAX
LIN.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Linde,Germany,LIN.DE,DAX
MRK.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Merck,Germany,MRK.DE,DAX
MTX.DE,2020,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX.DE,DAX
MUV2.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2.DE,DAX
RWE.DE,2020,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE.DE,DAX
SAP.DE,2020,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP.DE,DAX
SIE.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE.DE,DAX
VOW3.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3.DE,DAX
VNA.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA.DE,DAX
WDI.DE,2020,Bolsa de Fráncfort (Xetra-DAX),Wirecard,Germany,WDI.DE,DAX
ADS.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS.DE,DAX
ALV.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV.DE,DAX
BAS.DE,2021,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS.DE,DAX
BAYN.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN.DE,DAX
BEI.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Germany,BEI.DE,DAX
BMW.DE,2021,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW.DE,DAX
CON.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON.DE,DAX
1COV.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV.DE,DAX
DHER.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Delivery Hero,Germany,DHER.DE,DAX
DBK.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK.DE,DAX
DB1.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1.DE,DAX
LHA.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Lufthansa,Germany,LHA.DE,DAX
DPW.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DPW.DE,DAX
DTE.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE.DE,DAX
EOAN.DE,2021,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN.DE,DAX
FRE.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE.DE,DAX
FME.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME.DE,DAX
HEI.DE,2021,Bolsa de Fráncfort (Xetra-DAX),HeidelbergCement,Germany,HEI.DE,DAX
HEN3.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3.DE,DAX
IFX.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Infineon,Germany,IFX.DE,DAX
LIN.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Linde,Germany,LIN.DE,DAX
MRK.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Merck,Germany,MRK.DE,DAX
MTX.DE,2021,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX.DE,DAX
MUV2.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2.DE,DAX
RWE.DE,2021,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE.DE,DAX
SAP.DE,2021,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP.DE,DAX
SIE.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE.DE,DAX
VOW3.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3.DE,DAX
VNA.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA.DE,DAX
AIR.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Airbus,Germany,AIR.DE,DAX
BNR.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Brenntag,Germany,BNR.DE,DAX
DTG.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Deutsche Wohnen,Germany,DTG.DE,DAX
HLE.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Hellofresh,Germany,HLE.DE,DAX
PUM.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Puma,Germany,PUM.DE,DAX
QIA.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Qiagen,Germany,QIA.DE,DAX
RHM.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Rheinmetall,Germany,RHM.DE,DAX
SRT3.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Sartorius,Germany,SRT3.DE,DAX
SHL.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Siemens Healthineers,Germany,SHL.DE,DAX
SY1.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Symrise,Germany,SY1.DE,DAX
ZAL.DE,2021,Bolsa de Fráncfort (Xetra-DAX),Zalando,Germany,ZAL.DE,DAX
ADS.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS.DE,DAX
AIR.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Airbus,Germany,AIR.DE,DAX
ALV.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV.DE,DAX
BAS.DE,2022,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS.DE,DAX
BAYN.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN.DE,DAX
BMW.DE,2022,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW.DE,DAX
BNR.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Brenntag,Germany,BNR.DE,DAX
CBK.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Commerzbank,Germany,CBK.DE,DAX
CON.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON.DE,DAX
1COV.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV.DE,DAX
DTG.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Daimler Truck,Germany,DTG.DE,DAX
DBK.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK.DE,DAX
DB1.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1.DE,DAX
DPW.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DPW.DE,DAX
DTE.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE.DE,DAX
EOAN.DE,2022,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN.DE,DAX
FRE.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE.DE,DAX
FME.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME.DE,DAX
HNR1.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Hannover Rück,Germany,HNR1.DE,DAX
HEI.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Heidelberg Materials,Germany,HEI.DE,DAX
HEN3.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3.DE,DAX
IFX.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Infineon,Germany,IFX.DE,DAX
MBG.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Mercedes-Benz Group,Germany,MBG.DE,DAX
MRK.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Merck,Germany,MRK.DE,DAX
MTX.DE,2022,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX.DE,DAX
MUV2.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2.DE,DAX
PAH3.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Porsche Automobil Holding,Germany,PAH3.DE,DAX
QIA.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Qiagen,Germany,QIA.DE,DAX
RHM.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Rheinmetall,Germany,RHM.DE,DAX
RWE.DE,2022,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE.DE,DAX
SAP.DE,2022,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP.DE,DAX
SRT3.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Sartorius,Germany,SRT3.DE,DAX
SIE.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE.DE,DAX
SHL.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Siemens Healthineers,Germany,SHL.DE,DAX
SY1.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Symrise,Germany,SY1.DE,DAX
VOW3.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3.DE,DAX
VNA.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA.DE,DAX
ZAL.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Zalando,Germany,ZAL.DE,DAX
BEI.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Alemania,BEI.DE,DAX
ENR.DE,2022,Bolsa de Fráncfort (Xetra-DAX),Siemens Energy,Alemania,ENR.DE,DAX
ADS.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS,DAX
AIR.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Airbus,Germany,AIR,DAX
ALV.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV,DAX
BAS.DE,2023,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS,DAX
BAYN.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN,DAX
BEI.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Germany,BEI,DAX
BMW.DE,2023,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW,DAX
BNR.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Brenntag,Germany,BNR,DAX
CBK.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Commerzbank,Germany,CBK,DAX
CON.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON,DAX
1COV.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV,DAX
DTG.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Daimler Truck,Germany,DTG,DAX
DBK.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK,DAX
DB1.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1,DAX
DPW.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DHL,DAX
DTE.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE,DAX
EOAN.DE,2023,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN,DAX
FRE.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE,DAX
FME.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME,DAX
HNR1.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Hannover Rück,Germany,HNR1,DAX
HEI.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Heidelberg Materials,Germany,HEI,DAX
HEN3.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3,DAX
IFX.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Infineon Technologies,Germany,IFX,DAX
MBG.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Mercedes-Benz Group,Germany,MBG,DAX
MRK.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Merck KGaA,Germany,MRK,DAX
MTX.DE,2023,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX,DAX
MUV2.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2,DAX
P911.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Porsche AG,Germany,P911,DAX
PUM.DE,2023,Bolsa de Fráncfort (Xetra-DAX),PUMA,Germany,PUM,DAX
QIA.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Qiagen,Germany,QIA,DAX
RHM.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Rheinmetall,Germany,RHM,DAX
RWE.DE,2023,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE,DAX
SAP.DE,2023,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP,DAX
SRT3.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Sartorius,Germany,SRT3,DAX
SIE.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE,DAX
SHL.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Siemens Healthineers,Germany,SHL,DAX
SY1.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Symrise,Germany,SY1,DAX
VOW3.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3,DAX
VNA.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA,DAX
ZAL.DE,2023,Bolsa de Fráncfort (Xetra-DAX),Zalando,Germany,ZAL,DAX
ADS.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS,DAX
AIR.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Airbus,Germany,AIR,DAX
ALV.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV,DAX
BAS.DE,2024,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS,DAX
BAYN.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN,DAX
BEI.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Germany,BEI,DAX
BMW.DE,2024,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW,DAX
BNR.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Brenntag,Germany,BNR,DAX
CBK.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Commerzbank,Germany,CBK,DAX
CON.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON,DAX
1COV.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV,DAX
DTG.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Daimler Truck,Germany,DTG,DAX
DBK.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK,DAX
DB1.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1,DAX
DPW.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DHL,DAX
DTE.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE,DAX
EOAN.DE,2024,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN,DAX
FRE.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE,DAX
FME.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME,DAX
HNR1.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Hannover Rück,Germany,HNR1,DAX
HEI.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Heidelberg Materials,Germany,HEI,DAX
HEN3.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3,DAX
IFX.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Infineon Technologies,Germany,IFX,DAX
MBG.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Mercedes-Benz Group,Germany,MBG,DAX
MRK.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Merck KGaA,Germany,MRK,DAX
MTX.DE,2024,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX,DAX
MUV2.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2,DAX
P911.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Porsche AG,Germany,P911,DAX
PUM.DE,2024,Bolsa de Fráncfort (Xetra-DAX),PUMA,Germany,PUM,DAX
QIA.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Qiagen,Germany,QIA,DAX
RHM.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Rheinmetall,Germany,RHM,DAX
RWE.DE,2024,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE,DAX
SAP.DE,2024,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP,DAX
SRT3.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Sartorius,Germany,SRT3,DAX
SIE.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE,DAX
SHL.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Siemens Healthineers,Germany,SHL,DAX
SY1.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Symrise,Germany,SY1,DAX
VOW3.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3,DAX
VNA.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA,DAX
ZAL.DE,2024,Bolsa de Fráncfort (Xetra-DAX),Zalando,Germany,ZAL,DAX
ADS.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Adidas,Germany,ADS,DAX
AIR.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Airbus,Germany,AIR,DAX
ALV.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Allianz,Germany,ALV,DAX
BAS.DE,2025,Bolsa de Fráncfort (Xetra-DAX),BASF,Germany,BAS,DAX
BAYN.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Bayer,Germany,BAYN,DAX
BEI.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Beiersdorf,Germany,BEI,DAX
BMW.DE,2025,Bolsa de Fráncfort (Xetra-DAX),BMW,Germany,BMW,DAX
BNR.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Brenntag,Germany,BNR,DAX
CBK.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Commerzbank,Germany,CBK,DAX
CON.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Continental,Germany,CON,DAX
1COV.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Covestro,Germany,1COV,DAX
DTG.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Daimler Truck,Germany,DTG,DAX
DBK.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Deutsche Bank,Germany,DBK,DAX
DB1.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Deutsche Börse,Germany,DB1,DAX
DPW.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Deutsche Post,Germany,DHL,DAX
DTE.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Deutsche Telekom,Germany,DTE,DAX
EOAN.DE,2025,Bolsa de Fráncfort (Xetra-DAX),E.ON,Germany,EOAN,DAX
FRE.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Fresenius,Germany,FRE,DAX
FME.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Fresenius Medical Care,Germany,FME,DAX
HNR1.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Hannover Rück,Germany,HNR1,DAX
HEI.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Heidelberg Materials,Germany,HEI,DAX
HEN3.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Henkel,Germany,HEN3,DAX
IFX.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Infineon Technologies,Germany,IFX,DAX
MBG.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Mercedes-Benz Group,Germany,MBG,DAX
MRK.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Merck KGaA,Germany,MRK,DAX
MTX.DE,2025,Bolsa de Fráncfort (Xetra-DAX),MTU Aero Engines,Germany,MTX,DAX
MUV2.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Munich Re,Germany,MUV2,DAX
P911.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Porsche AG,Germany,P911,DAX
PUM.DE,2025,Bolsa de Fráncfort (Xetra-DAX),PUMA,Germany,PUM,DAX
QIA.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Qiagen,Germany,QIA,DAX
RHM.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Rheinmetall,Germany,RHM,DAX
RWE.DE,2025,Bolsa de Fráncfort (Xetra-DAX),RWE,Germany,RWE,DAX
SAP.DE,2025,Bolsa de Fráncfort (Xetra-DAX),SAP,Germany,SAP,DAX
SRT3.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Sartorius,Germany,SRT3,DAX
SIE.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Siemens,Germany,SIE,DAX
SHL.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Siemens Healthineers,Germany,SHL,DAX
SY1.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Symrise,Germany,SY1,DAX
VOW3.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Volkswagen Group,Germany,VOW3,DAX
VNA.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Vonovia,Germany,VNA,DAX
ZAL.DE,2025,Bolsa de Fráncfort (Xetra-DAX),Zalando,Germany,ZAL,DAX
ACS.MC,2020,Madrid Stock Exchange,ACS,Spain,ACS,IBEX35
ACS.MC,2021,Madrid Stock Exchange,ACS,Spain,ACS,IBEX 35
ANA.MC,2022,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX 35
ACS.MC,2024,Madrid Stock Exchange,ACS,Spain,ACS,IBEX35
ACS.MC,2025,Madrid Stock Exchange,ACS,Spain,ACS,IBEX35
ANE.MC,2023,Madrid Stock Exchange,Acciona Energia,Spain,ANE,IBEX35
ACX.MC,2020,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX35
ACX.MC,2021,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX 35
ANE.MC,2022,Madrid Stock Exchange,Acciona Energia,Spain,ANE,IBEX 35
ACX.MC,2022,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX 35
ACX.MC,2024,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX35
ACX.MC,2025,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX35
AENA.MC,2020,Madrid Stock Exchange,Aena,Spain,AENA,IBEX35
AENA.MC,2021,Madrid Stock Exchange,Aena,Spain,AENA,IBEX 35
ACX.MC,2023,Madrid Stock Exchange,Acerinox,Spain,ACX,IBEX35
AENA.MC,2024,Madrid Stock Exchange,Aena,Spain,AENA,IBEX35
AENA.MC,2025,Madrid Stock Exchange,Aena,Spain,AENA,IBEX35
ACS.MC,2022,Madrid Stock Exchange,ACS,Spain,ACS,IBEX 35
ALM.MC,2021,Madrid Stock Exchange,Almirall,Spain,ALM,IBEX 35
AMS.MC,2020,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
AMS.MC,2021,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX 35
ACS.MC,2023,Madrid Stock Exchange,ACS,Spain,ACS,IBEX35
AMS.MC,2024,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
AMS.MC,2025,Madrid Stock Exchange,Amadeus IT Group,Spain,AMS,IBEX35
AENA.MC,2022,Madrid Stock Exchange,Aena,Spain,AENA,IBEX 35
ANA.MC,2020,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX35
ANA.MC,2021,Madrid Stock Exchange,Acciona,Spain,ANA,IBEX 35
