Ticker,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherWorkingCapital,ChangesInAccountReceivables,ChangeInAccountPayable,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,CapitalExpenditure,PurchaseOfPropertyPlantAndEquipment,SaleOfPropertyPlantAndEquipment,PurchaseOfIntangibleAssets,SaleOfIntangibleAssets,PurchaseOfInvestment,SaleOfInvestment,PurchaseOfBusiness,SaleOfBusiness,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,NetBusinessPurchaseAndSale,NetOtherInvestingChanges,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,IssuanceOfCapitalStock,CommonStockIssuance,RepurchaseOfCapitalStock,CashDividendsPaid,IssuanceOfDebt,RepaymentOfDebt,IssuanceOfLongTermDebt,RepaymentOfLongTermDebt,NetBorrowings,NetOtherFinancingCharges,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,EffectOfExchangeRateChanges,ChangeInCashSupplementalAsReported,BeginningCashPosition,EndCashPosition,FreeCashFlow
ACS.MC,866.2,408.1,596.06,,,,,,2792.87,,-660.85,,,,,-35.6,548.92,-1223.72,15.53,,513.32,-553.71,-1208.19,-6.4,-1248.58,,1.76,1.76,-625.35,-368.13,5512.9,-4350.25,,,,1789.3,496.66,,285.42,,9087.29,11413.66,2132.02
ACX.MC,159.91,12.6,106.6,,,,,,293.67,,-204.78,,,,,-0.59,0.38,-709.29,,-2.46,-0.21,-201.73,-709.29,16.78,-896.46,,,,-1.01,-154.54,1009.7,-809.65,,,,-74.9,-36.03,,107.94,,1793.68,1262.81,88.89
AMS.MC,700.2,,70.7,,,,-20.3,1.2,2146.0,,-788.1,,,,,-84.8,27.0,-372.7,0.2,-715.4,-57.8,-72.7,-372.5,17.8,-1146.4,,,,-362.4,-541.9,1001.0,-940.1,,,,-0.1,-990.1,,2.2,,1037.2,1048.9,1357.9
ANA.MC,1139.0,233.0,522.0,,,,,,2239.0,,-2731.0,,,,,,,,304.0,,,-2647.0,304.0,-122.0,-2465.0,,,,-46.0,-333.0,5693.0,-3942.0,,,,-456.0,760.0,,-8.0,,3714.0,4240.0,-492.0
ANE.MC,425.0,114.0,147.0,,,,157.0,,681.0,,-1630.0,,,,,,,-89.0,266.0,,,-1628.0,177.0,,-1451.0,,,,,-188.0,1275.0,-779.0,,,,227.0,522.0,,7.0,,736.0,495.0,-949.0
BBVA.MC,1533.0,13284.0,-37951.0,-36203.0,,,-2140.0,392.0,-18190.0,-18190.0,-2011.0,,,,,-1.0,32.0,-28.0,73.0,-816.0,31.0,-1091.0,45.0,408.0,-1423.0,-1423.0,691.0,691.0,-1529.0,-3913.0,5514.0,-2599.0,,,,-731.0,-2567.0,-2568.0,-2091.0,,75416.0,51145.0,-20201.0
BKT.MC,87.45,976.42,364.24,,,,13.68,-85.83,1941.44,,-151.1,,,,,,,0.0,0.0,-89.24,,-45.66,0.0,,-120.8,,78.6,78.6,-78.68,-462.35,200.0,0.0,,,,0.0,-262.44,,0.0,,613859.59,615417.81,1790.34
CABK.MC,778.0,1986.0,9734.0,,,,269.0,3554.0,16846.0,,-755.0,,,,,,,0.0,89.0,-433.0,,-234.0,89.0,,-152.0,,23.0,23.0,-1292.0,-3947.0,1750.0,-2000.0,,,,714.0,-4752.0,,1.0,,37861.0,49804.0,16091.0
CLNX.MC,2608.34,918.35,55.51,,,,48.77,,2306.57,,-2030.34,,,,,-34.46,0.0,-10.69,,,-34.46,-2030.34,-10.69,898.8,-1176.68,,40.1,40.1,,-44.28,1219.95,-1801.41,,,,-27.33,-1294.3,,-45.26,,1292.44,1082.77,276.24
COL.MC,7.33,41.07,62.26,,,,1.23,,362.41,,-4.24,,,,,-2.68,0.38,,0.24,-3.28,-2.3,-0.96,0.24,-6.27,-4.59,,345.41,345.41,-26.12,-180.0,130.0,-399.57,,,,-4.71,-252.89,,,,437.79,542.72,358.17
AENA.MC,847.81,-40.3,-52.01,,,,,,2746.94,,-825.18,,,,,-51.4,39.36,,,,-12.04,-796.53,,,-804.35,,2.11,2.11,,-1182.87,,,,,,-1248.39,-2429.15,,-55.28,,2363.12,1821.28,1921.76
ELE.MC,1903.0,811.0,-733.0,,,,-6.0,,3567.0,,-1846.0,,,,,-620.0,908.0,0.0,0.0,,288.0,-1816.0,0.0,195.0,-1333.0,,849.0,849.0,-14.0,-1058.0,818.0,-40.0,,,,-3263.0,-3500.0,,0.0,,2106.0,840.0,1721.0
ENG.MC,287.11,608.2,-73.71,,,,,,454.99,,-97.89,,,,,-15.88,0.0,-26.28,910.03,,-15.88,-97.89,883.75,160.99,930.98,,0.0,0.0,-6.21,-378.89,611.62,-1143.24,,,,-45.85,-962.57,,33.78,,838.48,1295.67,357.1
FDR.MC,160.91,68.3,39.12,,,,,,310.6,,-73.11,,,,,-14.18,16.2,-5.69,,-33.64,2.02,-37.11,-5.69,,-74.29,,109.22,109.22,-108.87,-107.72,,-39.33,,,,0.01,-190.59,,3.61,,112.88,162.21,237.49
FER.MC,441.0,-37.0,-220.0,,,,,,1293.0,1293.0,-226.0,,,,,,,-1286.0,2582.0,,,-226.0,1296.0,257.0,1313.0,1313.0,,,-973.0,-130.0,150.0,-761.0,,,,-413.0,-2591.0,-2591.0,59.0,,4789.0,4828.0,1067.0
GRF.MC,437.9,696.31,22.38,,,,9.64,,902.17,902.17,-371.37,,,,,-43.85,0.0,-285.87,,-138.83,-43.85,-209.04,-285.87,1564.26,886.67,886.67,,,0.0,-0.96,,-111.49,,,,-1246.26,-1358.71,-1358.71,20.08,,529.58,979.78,530.8
IAG.MC,2364.0,169.0,-82.0,,,,336.0,,6372.0,,-2816.0,,,,,-215.0,0.0,-50.0,,,-215.0,-2232.0,-50.0,-5.0,-2502.0,,,,-202.0,-149.0,1474.0,-410.0,,,,-151.0,-1175.0,,53.0,,5441.0,8189.0,3556.0
IBE.MC,7412.0,1252.0,-1118.0,,,,,,11925.0,,-8375.0,,,,,-1677.0,460.0,-3366.0,5680.0,-710.0,-1217.0,-7665.0,2314.0,-626.0,-8397.0,,79.0,79.0,-2076.0,-1166.0,19041.0,-13118.0,,,,-2469.0,-2267.0,,-198.0,,3019.0,4082.0,3550.0
IDR.MC,106.95,21.08,-5.45,,,,,,450.89,,-111.0,,,,,-92.14,60.72,-92.14,,-87.44,-31.42,-23.3,-92.14,41.36,-81.91,,121.36,121.36,-150.12,-44.1,,-185.81,,,,-27.7,-333.72,,-15.02,,595.74,555.15,339.89
ITX.MC,2997.0,334.0,-198.0,,,,,,9288.0,,-2672.0,,,,,-709.0,55.0,-14.0,,-465.0,-654.0,-2207.0,-14.0,52.0,-3288.0,,,,,-4797.0,,0.0,,,,-1810.06,-6607.0,,-18.0,,7007.0,6382.0,6616.0
LOG.MC,165.47,-92.92,-75.81,,,,,-50.22,397.31,,-47.09,,,,,,,-19.98,0.0,-8.41,,-22.68,-19.98,,-51.08,,,,-2.78,-253.38,,,,,,-53.9,-370.02,,,,192.96,169.17,350.22
MAP.MC,,,,,,,,,,,-287.4,,,,,-15308.1,13631.1,-1748.2,1906.4,-227.3,-1677.0,-57.7,158.2,-79.0,-746.9,,9.7,9.7,0.0,-1098.9,0.0,0.0,,,,93.0,-1087.7,,-3.7,,2086.0,1746.7,1211.6
MRL.MC,4.35,92.55,31.82,,,,4.13,,316.78,,-19.48,,,,,,,-53.47,,-0.71,,-18.77,-53.47,,-294.38,,899.54,899.54,,-105.17,390.9,-13.64,,,,-102.58,1069.05,,,,461.22,1552.68,297.3
MTS.MC,2632.0,-335.0,-185.0,-287.0,-192.0,56.0,,,4852.0,4852.0,-4405.0,,,,,,,-1352.0,0.0,,216.0,-3837.0,-1352.0,-14.0,-4987.0,-4987.0,,,-1300.0,-393.0,2484.0,-1456.0,,,,-15.0,-680.0,-680.0,-471.0,,7686.0,6400.0,447.0
NTGY.MC,10.0,-1342.0,17.0,,,,0.0,,1219.0,,-4.0,,,,,-1.0,10.0,-1005.0,225.0,0.0,9.0,-4.0,-780.0,,-775.0,,5.0,5.0,-10.0,-1454.0,2321.0,-2689.0,,,,,-1827.0,,,,2981.0,1598.0,1215.0
PUIG.MC,210.5,26.11,41.23,,,,,,739.69,,-190.92,,,,,,,-1076.76,,,18.03,-190.78,-1076.76,,-1240.55,,1377.09,1377.09,-0.36,-192.52,658.57,-1224.87,,,,,538.35,,-7.74,,852.9,882.65,548.77
RED.MC,461.69,41.49,-231.74,,,,,,955.63,,-1078.63,,,,,-1669.81,1522.35,-1.84,,,-147.46,-1078.63,-1.84,280.56,-947.38,,7.28,7.28,,-572.47,,,,,,889.66,324.46,,1.4,,555.53,889.64,-123.0
REP.MC,2932.0,49.0,-8.0,,,,,,4965.0,,-4725.0,,,,,-2296.0,4347.0,-997.0,208.0,,2051.0,-4227.0,-789.0,271.0,-2694.0,,285.0,285.0,-1135.0,-1153.0,,,,,,1100.0,-1641.0,,-1.0,,4129.0,4758.0,240.0
ROVI.MC,28.02,0.89,8.96,,,,0.04,,138.28,,-62.22,,,,,,0.08,-19.09,0.0,-3.1,0.08,-59.08,-19.09,,-81.06,,41.92,41.92,-89.71,-56.45,96.95,-51.71,,,,5.41,-55.36,,,,25.32,27.19,76.06
SAB.MC,501.04,1271.13,-14295.8,,,,392.89,-770.11,-11071.46,,-547.09,,,,,,,-1.69,102.2,-346.19,,-81.17,100.5,,-245.92,,35.42,35.42,-113.78,-591.33,500.0,0.0,,,,-212.6,-382.29,,95.93,,29985.85,18382.11,-11618.55
SAN.MC,3294.0,25067.0,-60380.0,-52295.0,,,-1135.0,-6950.0,-24155.0,-24155.0,-10598.0,,,,,-686.0,681.0,-71.0,8.0,-2104.0,-5.0,-2528.0,-63.0,988.0,-3712.0,-3712.0,765.0,765.0,-4789.0,-3017.0,7001.0,-4096.0,,,,-1374.0,-5510.0,-5510.0,5243.0,,220342.0,192208.0,-34753.0
SCYR.MC,162.84,17.42,785.78,,,,,,1293.88,,-332.55,,,,,-590.49,4.29,,,,-586.2,-249.46,,,-746.23,,220.29,220.29,-8.72,-8.04,3679.42,-3453.39,,,,-195.93,-519.72,,-82.81,,1680.37,1620.76,961.34
SLR.MC,43.66,8.53,-20.57,,,,-9.04,,115.32,,-187.38,,,,,,,,,,,-187.38,,,-187.38,,,,,,155.26,-97.81,,,,,49.12,,,,77.29,54.35,-72.07
TEF.MC,,,,,,,,,,,-5790.0,,,,,-1196.0,1451.0,-189.0,220.0,,255.0,-5521.0,31.0,12.0,-5223.0,-5223.0,,,,-1757.0,3547.0,-4406.0,,,,-2056.0,-4672.0,-4672.0,-191.0,,7151.0,8062.0,5204.0
UNI.MC,86.85,440.08,-1381.56,,,,214.79,-512.5,-355.53,,-51.02,,,,,,,-0.77,18.42,-33.21,,120.96,17.66,,234.08,,40.38,40.38,-140.09,-286.16,300.0,-300.0,,,,-30.95,-416.81,,0.0,,8040.03,7501.78,-406.55
AC.PA,341.0,5.0,-79.0,,,,-79.0,,733.0,,-293.0,,,,,,,-282.0,88.0,,,-293.0,-194.0,1.0,-358.0,,3.0,3.0,-404.0,-298.0,2938.0,-2475.0,,,,-3.0,-400.0,,-15.0,,1279.0,1236.0,440.0
AI.PA,2505.1,338.8,148.9,,,,-155.1,,6322.2,,-3525.1,,,,,,,-269.0,113.0,,,-3445.0,-156.0,,-3583.4,,34.4,34.4,-230.8,-1718.1,,,,,,-33.4,-2807.6,,-32.4,,1403.6,1302.4,2797.1
AIR.PA,2853.0,98.0,1337.0,,,,6146.0,,7402.0,,-3669.0,,,,,-4460.0,1769.0,-1117.0,530.0,-3571.0,-2691.0,,-587.0,,-6653.0,,,,,-2215.0,,,,,,-78.0,-2570.0,,358.0,,16473.0,15010.0,3733.0
MT.AS,2632.0,-335.0,-185.0,-287.0,-192.0,56.0,,,4852.0,4852.0,-4405.0,,,,,,,-1352.0,0.0,,216.0,-3837.0,-1352.0,-14.0,-4987.0,-4987.0,,,-1300.0,-393.0,2484.0,-1456.0,,,,-15.0,-680.0,-680.0,-471.0,,7686.0,6400.0,447.0
CS.PA,,45.0,10380.0,,,,14777.0,,12467.0,,-476.0,,,,,-75938.0,67391.0,-53.0,194.0,,-8547.0,-459.0,141.0,1456.0,-11249.0,,1991.0,1991.0,-4745.0,-4455.0,776.0,0.0,,,,-2.0,-7335.0,,280.0,,24539.0,18113.0,11991.0
BNP.PA,7272.0,1756.0,-121525.0,,,,-121525.0,,-97376.0,,-2136.0,,,,,,,,,,,-2136.0,1956.0,,-180.0,,,,,,,,,,,-6418.0,-6418.0,,-393.0,,282579.0,178212.0,-99512.0
EN.PA,3074.0,188.0,776.0,,,,,,5378.0,,-2714.0,,,,,,,-1114.0,53.0,,,-2268.0,-1061.0,-107.0,-3483.0,,,,,-718.0,,,,,,-548.0,-2070.0,,86.0,,4907.0,4818.0,2664.0
BVI.PA,283.7,,60.8,,,,,,1004.8,,-145.9,,,,,-8.2,8.7,-313.9,105.4,,0.5,-139.8,-208.5,,-347.8,,18.1,18.1,-191.8,-406.9,1000.4,-800.1,,,,-58.3,-610.2,,-12.7,,1170.1,1200.6,858.9
CAP.PA,683.0,-60.0,-214.0,,,,-263.0,,2526.0,,-315.0,,,,,,,-827.0,,,,-310.0,-827.0,-200.0,-1337.0,,413.0,413.0,-989.0,-584.0,847.0,-1448.0,,,,207.0,-2016.0,,97.0,,3517.0,2787.0,2211.0
CA.PA,2424.0,621.0,798.0,,,,8.0,-14.0,4200.0,,-1772.0,,,,,-36.0,11.0,-1378.0,13.0,,-25.0,-1173.0,-1365.0,191.0,-2372.0,,,,,-600.0,2748.0,-1271.0,,,,387.0,-1076.0,,-477.0,,6290.0,6564.0,2428.0
ACA.PA,1245.0,3727.0,-47411.0,,,,-47411.0,,-15909.0,,-1070.0,,,,,,,,,,,-1070.0,-712.0,,-1782.0,,,,,-5141.0,,,,,,14588.0,9447.0,,-1195.0,,142584.0,133146.0,-16979.0
BN.PA,1168.0,151.0,533.0,,,,137.0,,3831.0,,-923.0,,,,,,,-153.0,507.0,,,18.0,354.0,1.0,-463.0,,76.0,76.0,,-1348.0,1397.0,-2006.0,,,,-1015.0,-3817.0,,-2.0,,1099.0,647.0,2908.0
DSY.PA,575.2,-20.9,-137.0,,,,24.3,141.1,1659.8,,-193.4,,,,,,,-22.5,,,,-193.4,-22.5,24.2,-191.7,,48.4,48.4,-374.0,-302.7,200.2,-700.9,,,,-3.2,-1211.9,,128.2,,3568.3,3952.6,1466.4
EDEN.PA,245.0,51.0,179.0,,,,179.0,,1029.0,,-217.0,,,,,-6.0,,-504.0,,,-6.0,-217.0,-504.0,23.0,-704.0,,2.0,2.0,-359.0,-307.0,505.0,0.0,,,,,-39.0,,-73.0,,1327.0,1540.0,812.0
ENGI.PA,5991.0,1111.0,-227.0,,,,-3069.0,,13144.0,,-9385.0,,,,,,1725.0,-736.0,808.0,,1725.0,-9310.0,72.0,1.0,-11338.0,,,,,-4147.0,6087.0,-3707.0,,,,1088.0,-1457.0,,2.0,,16578.0,16928.0,3759.0
EL.PA,3098.0,175.0,-697.0,,,,-607.0,,4874.0,,-1522.0,,,,,,,-1755.0,,,-367.0,-1512.0,-1755.0,12.0,-3622.0,,35.0,35.0,-274.0,-1163.0,2383.0,-1300.0,,,,-296.0,-1647.0,,88.0,,2558.0,2251.0,3352.0
ERF.PA,596.9,115.7,51.4,,,,-3.0,9.2,1318.9,,-528.4,,,,,,,-344.3,,-74.8,-3.3,-443.4,-344.3,-0.1,-846.5,,0.2,0.2,-271.9,-95.6,118.0,-477.7,,,,-53.5,-1089.5,,9.4,,1220.9,613.2,790.5
