NOMBRE_EMPRESA,PAIS,INDEX,TICKER
"ACS,ACTIVIDADES DE CONSTRUCCION Y SERVICIOS,S.A.",España,IBEX35,ACS
"ACERINOX, S.A.",España,IBEX35,ACX
"AENA, S.M.E., S.A.",España,IBEX35,AENA
"AMADEUS IT GROUP, S.A.",España,IBEX35,AMS
"ACCIONA, S.A.",España,IBEX35,ANA
CORPORACION ACCIONA ENERGIAS RENOVABLES S.A.,España,IBEX35,ANE
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",España,IBEX35,BBVA
"BANKINTER, S.A.",España,IBEX35,BKT
"CAIXABANK, S.A.",España,IBEX35,CABK
"CELLNEX TELECOM, S.A.",España,IBEX35,CLNX
"INMOBILIARIA COLONIAL, SOCIMI S.A.",España,IBEX35,COL
"ENDESA,S.A.",España,IBEX35,ELE
"ENAGAS,S.A.",España,IBEX35,ENG
"FLUIDRA, S.A.",España,IBEX35,FDR
FERROVIAL SE,España,IBEX35,FER
GRIFOLS S.A.,España,IBEX35,GRF
INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.50 (CDI),España,IBEX35,IAG
ACCIONES IBERDROLA,España,IBEX35,IBE
"INDRA SISTEMAS S.A., SERIE A",España,IBEX35,IDR
INDUSTRIA DE DISENO TEXTIL S.A. INDITEX,España,IBEX35,ITX
"COMPANIA DE DISTRIBUCION INTEGRAL LOGISTA HOLDINGS, S.A.",España,IBEX35,LOG
"MAPFRE, S.A.",España,IBEX35,MAP
"MERLIN PROPERTIES SOCIMI, S.A.",España,IBEX35,MRL
ARCELORMITTAL SA,España,IBEX35,MTS
"NATURGY ENERGY GROUP, S.A.",España,IBEX35,NTGY
"PUIG BRANDS, S.A. CLASE B",España,IBEX35,PUIG
"REDEIA CORPORACION, S.A.",España,IBEX35,RED
"REPSOL, S.A.",España,IBEX35,REP
LABORATORIOS FARMACEUTICOS ROVI S.A.,España,IBEX35,ROVI
BANCO DE SABADELL,España,IBEX35,SAB
BANCO SANTANDER S.A.,España,IBEX35,SAN
"SACYR, S.A.",España,IBEX35,SCYR
"SOLARIA ENERGIA Y MEDIO AMBIENTE, S.A.",España,IBEX35,SLR
"TELEFONICA,S.A.",España,IBEX35,TEF
"UNICAJA BANCO, S.A.",España,IBEX35,UNI
